Answer.time_in_minutes,modal,workerid,rating,percentage_blue,color,Answer.misread_instructions,Answer.condition
5.15425,might,3,0,50,orange,0,might
5.15425,might,3,0,60,orange,0,might
5.15425,might,3,0,75,orange,0,might
5.15425,might,3,0,90,orange,0,might
5.15425,might,3,0,100,orange,0,might
5.15425,might,3,0,0,blue,0,might
5.15425,might,3,0,10,blue,0,might
5.15425,might,3,0,25,blue,0,might
5.15425,might,3,0,40,blue,0,might
5.15425,might,3,0,50,blue,0,might
5.15425,might,3,0,60,blue,0,might
5.15425,might,3,10,75,blue,0,might
5.15425,might,3,0,90,blue,0,might
5.15425,might,3,0,100,blue,0,might
5.15425,probably,3,0,0,blue,0,might
5.15425,probably,3,0,10,blue,0,might
5.15425,probably,3,0,25,blue,0,might
5.15425,probably,3,0,40,blue,0,might
5.15425,probably,3,0,50,blue,0,might
5.15425,probably,3,0,60,blue,0,might
5.15425,probably,3,0,75,blue,0,might
5.15425,probably,3,10,90,blue,0,might
5.15425,probably,3,0,100,blue,0,might
9.65285,bare,4,10,0,orange,0,might
9.65285,bare,4,0,10,orange,0,might
9.65285,bare,4,0,25,orange,0,might
9.65285,bare,4,0,40,orange,0,might
9.65285,bare,4,0,50,orange,0,might
9.65285,bare,4,0,60,orange,0,might
9.65285,bare,4,0,75,orange,0,might
9.65285,bare,4,0,90,orange,0,might
9.65285,bare,4,0,100,orange,0,might
9.65285,might,4,0,0,orange,0,might
9.65285,might,4,0,10,orange,0,might
9.65285,might,4,0,25,orange,0,might
9.65285,might,4,0,40,orange,0,might
9.65285,might,4,5,50,orange,0,might
9.65285,might,4,3,60,orange,0,might
9.65285,might,4,2,75,orange,0,might
9.65285,might,4,0,90,orange,0,might
9.65285,might,4,0,100,orange,0,might
9.65285,probably,4,0,0,orange,0,might
9.65285,probably,4,8,10,orange,0,might
9.65285,probably,4,2,25,orange,0,might
9.65285,probably,4,0,40,orange,0,might
9.65285,probably,4,0,50,orange,0,might
9.65285,probably,4,0,60,orange,0,might
9.65285,probably,4,0,75,orange,0,might
9.65285,probably,4,0,90,orange,0,might
9.65285,probably,4,0,100,orange,0,might
9.65285,probably,4,0,0,blue,0,might
9.65285,probably,4,0,10,blue,0,might
9.65285,probably,4,0,25,blue,0,might
9.65285,probably,4,0,40,blue,0,might
9.65285,probably,4,0,50,blue,0,might
9.65285,probably,4,1,60,blue,0,might
9.65285,probably,4,2,75,blue,0,might
9.65285,probably,4,7,90,blue,0,might
9.65285,probably,4,0,100,blue,0,might
9.65285,might,4,0,0,blue,0,might
9.65285,might,4,0,10,blue,0,might
9.65285,might,4,0,25,blue,0,might
9.65285,might,4,0,40,blue,0,might
9.65285,might,4,5,50,blue,0,might
9.65285,might,4,3,60,blue,0,might
9.65285,might,4,2,75,blue,0,might
9.65285,might,4,0,90,blue,0,might
9.65285,might,4,0,100,blue,0,might
9.65285,bare,4,0,0,blue,0,might
9.65285,bare,4,0,10,blue,0,might
9.65285,bare,4,0,25,blue,0,might
9.65285,bare,4,0,40,blue,0,might
9.65285,bare,4,0,50,blue,0,might
9.65285,bare,4,0,60,blue,0,might
9.65285,bare,4,0,75,blue,0,might
9.65285,bare,4,0,90,blue,0,might
9.65285,bare,4,10,100,blue,0,might
7.88745,might,5,0,0,orange,0,might
7.88745,might,5,0,10,orange,0,might
7.88745,might,5,3,25,orange,0,might
7.88745,might,5,3,40,orange,0,might
7.88745,might,5,2,50,orange,0,might
7.88745,might,5,1,60,orange,0,might
7.88745,might,5,1,75,orange,0,might
7.88745,might,5,0,90,orange,0,might
7.88745,might,5,0,100,orange,0,might
7.88745,probably,5,0,0,blue,0,might
7.88745,probably,5,0,10,blue,0,might
7.88745,probably,5,0,25,blue,0,might
7.88745,probably,5,0,40,blue,0,might
7.88745,probably,5,0,50,blue,0,might
7.88745,probably,5,1,60,blue,0,might
7.88745,probably,5,3,75,blue,0,might
7.88745,probably,5,6,90,blue,0,might
7.88745,probably,5,0,100,blue,0,might
7.88745,probably,5,0,0,orange,0,might
7.88745,probably,5,6,10,orange,0,might
7.88745,probably,5,3,25,orange,0,might
7.88745,probably,5,1,40,orange,0,might
7.88745,probably,5,0,50,orange,0,might
7.88745,probably,5,0,60,orange,0,might
7.88745,probably,5,0,75,orange,0,might
7.88745,probably,5,0,90,orange,0,might
7.88745,probably,5,0,100,orange,0,might
7.88745,might,5,0,0,blue,0,might
7.88745,might,5,0,10,blue,0,might
7.88745,might,5,0,25,blue,0,might
7.88745,might,5,4,40,blue,0,might
7.88745,might,5,3,50,blue,0,might
7.88745,might,5,3,60,blue,0,might
7.88745,might,5,0,75,blue,0,might
7.88745,might,5,0,90,blue,0,might
7.88745,might,5,0,100,blue,0,might
7.88745,bare,5,0,0,blue,0,might
7.88745,bare,5,0,10,blue,0,might
7.88745,bare,5,0,25,blue,0,might
7.88745,bare,5,0,40,blue,0,might
7.88745,bare,5,0,50,blue,0,might
7.88745,bare,5,0,60,blue,0,might
7.88745,bare,5,0,75,blue,0,might
7.88745,bare,5,0,90,blue,0,might
7.88745,bare,5,10,100,blue,0,might
7.88745,bare,5,10,0,orange,0,might
7.88745,bare,5,0,10,orange,0,might
7.88745,bare,5,0,25,orange,0,might
7.88745,bare,5,0,40,orange,0,might
7.88745,bare,5,0,50,orange,0,might
7.88745,bare,5,0,60,orange,0,might
7.88745,bare,5,0,75,orange,0,might
7.88745,bare,5,0,90,orange,0,might
7.88745,bare,5,0,100,orange,0,might
6.480716666666667,might,6,0,0,orange,0,might
6.480716666666667,might,6,0,10,orange,0,might
6.480716666666667,might,6,0,25,orange,0,might
6.480716666666667,might,6,5,40,orange,0,might
6.480716666666667,might,6,5,50,orange,0,might
6.480716666666667,might,6,0,60,orange,0,might
6.480716666666667,might,6,0,75,orange,0,might
6.480716666666667,might,6,0,90,orange,0,might
6.480716666666667,might,6,0,100,orange,0,might
6.480716666666667,bare,6,10,0,orange,0,might
6.480716666666667,bare,6,0,10,orange,0,might
6.480716666666667,bare,6,0,25,orange,0,might
6.480716666666667,bare,6,0,40,orange,0,might
6.480716666666667,bare,6,0,50,orange,0,might
6.480716666666667,bare,6,0,60,orange,0,might
6.480716666666667,bare,6,0,75,orange,0,might
6.480716666666667,bare,6,0,90,orange,0,might
6.480716666666667,bare,6,0,100,orange,0,might
6.480716666666667,probably,6,0,0,orange,0,might
6.480716666666667,probably,6,5,10,orange,0,might
6.480716666666667,probably,6,5,25,orange,0,might
6.480716666666667,probably,6,0,40,orange,0,might
6.480716666666667,probably,6,0,50,orange,0,might
6.480716666666667,probably,6,0,60,orange,0,might
6.480716666666667,probably,6,0,75,orange,0,might
6.480716666666667,probably,6,0,90,orange,0,might
6.480716666666667,probably,6,0,100,orange,0,might
6.480716666666667,bare,6,0,0,blue,0,might
6.480716666666667,bare,6,0,10,blue,0,might
6.480716666666667,bare,6,0,25,blue,0,might
6.480716666666667,bare,6,0,40,blue,0,might
6.480716666666667,bare,6,0,50,blue,0,might
6.480716666666667,bare,6,0,60,blue,0,might
6.480716666666667,bare,6,0,75,blue,0,might
6.480716666666667,bare,6,0,90,blue,0,might
6.480716666666667,bare,6,10,100,blue,0,might
6.480716666666667,might,6,0,0,blue,0,might
6.480716666666667,might,6,0,10,blue,0,might
6.480716666666667,might,6,0,25,blue,0,might
6.480716666666667,might,6,0,40,blue,0,might
6.480716666666667,might,6,6,50,blue,0,might
6.480716666666667,might,6,4,60,blue,0,might
6.480716666666667,might,6,0,75,blue,0,might
6.480716666666667,might,6,0,90,blue,0,might
6.480716666666667,might,6,0,100,blue,0,might
6.480716666666667,probably,6,0,0,blue,0,might
6.480716666666667,probably,6,0,10,blue,0,might
6.480716666666667,probably,6,0,25,blue,0,might
6.480716666666667,probably,6,0,40,blue,0,might
6.480716666666667,probably,6,0,50,blue,0,might
6.480716666666667,probably,6,0,60,blue,0,might
6.480716666666667,probably,6,5,75,blue,0,might
6.480716666666667,probably,6,5,90,blue,0,might
6.480716666666667,probably,6,0,100,blue,0,might
6.845233333333334,probably,7,0,0,blue,0,might
6.845233333333334,probably,7,0,10,blue,0,might
6.845233333333334,probably,7,0,25,blue,0,might
6.845233333333334,probably,7,0,40,blue,0,might
6.845233333333334,probably,7,0,50,blue,0,might
6.845233333333334,probably,7,0,60,blue,0,might
6.845233333333334,probably,7,6,75,blue,0,might
6.845233333333334,probably,7,4,90,blue,0,might
6.845233333333334,probably,7,0,100,blue,0,might
6.845233333333334,probably,7,0,0,orange,0,might
6.845233333333334,probably,7,4,10,orange,0,might
6.845233333333334,probably,7,6,25,orange,0,might
6.845233333333334,probably,7,0,40,orange,0,might
6.845233333333334,probably,7,0,50,orange,0,might
6.845233333333334,probably,7,0,60,orange,0,might
6.845233333333334,probably,7,0,75,orange,0,might
6.845233333333334,probably,7,0,90,orange,0,might
6.845233333333334,probably,7,0,100,orange,0,might
6.845233333333334,might,7,0,0,orange,0,might
6.845233333333334,might,7,0,10,orange,0,might
6.845233333333334,might,7,0,25,orange,0,might
6.845233333333334,might,7,5,40,orange,0,might
6.845233333333334,might,7,5,50,orange,0,might
6.845233333333334,might,7,0,60,orange,0,might
6.845233333333334,might,7,0,75,orange,0,might
6.845233333333334,might,7,0,90,orange,0,might
6.845233333333334,might,7,0,100,orange,0,might
6.845233333333334,bare,7,0,0,blue,0,might
6.845233333333334,bare,7,0,10,blue,0,might
6.845233333333334,bare,7,0,25,blue,0,might
6.845233333333334,bare,7,0,40,blue,0,might
6.845233333333334,bare,7,0,50,blue,0,might
6.845233333333334,bare,7,0,60,blue,0,might
6.845233333333334,bare,7,0,75,blue,0,might
6.845233333333334,bare,7,0,90,blue,0,might
6.845233333333334,bare,7,10,100,blue,0,might
6.845233333333334,might,7,0,0,blue,0,might
6.845233333333334,might,7,0,10,blue,0,might
6.845233333333334,might,7,0,25,blue,0,might
6.845233333333334,might,7,0,40,blue,0,might
6.845233333333334,might,7,0,50,blue,0,might
6.845233333333334,might,7,4,60,blue,0,might
6.845233333333334,might,7,6,75,blue,0,might
6.845233333333334,might,7,0,90,blue,0,might
6.845233333333334,might,7,0,100,blue,0,might
6.845233333333334,bare,7,10,0,orange,0,might
6.845233333333334,bare,7,0,10,orange,0,might
6.845233333333334,bare,7,0,25,orange,0,might
6.845233333333334,bare,7,0,40,orange,0,might
6.845233333333334,bare,7,0,50,orange,0,might
6.845233333333334,bare,7,0,60,orange,0,might
6.845233333333334,bare,7,0,75,orange,0,might
6.845233333333334,bare,7,0,90,orange,0,might
6.845233333333334,bare,7,0,100,orange,0,might
6.574516666666667,might,8,0,0,blue,0,might
6.574516666666667,might,8,0,10,blue,0,might
6.574516666666667,might,8,0,25,blue,0,might
6.574516666666667,might,8,0,40,blue,0,might
6.574516666666667,might,8,2,50,blue,0,might
6.574516666666667,might,8,3,60,blue,0,might
6.574516666666667,might,8,4,75,blue,0,might
6.574516666666667,might,8,1,90,blue,0,might
6.574516666666667,might,8,0,100,blue,0,might
6.574516666666667,bare,8,0,0,blue,0,might
6.574516666666667,bare,8,0,10,blue,0,might
6.574516666666667,bare,8,0,25,blue,0,might
6.574516666666667,bare,8,0,40,blue,0,might
6.574516666666667,bare,8,0,50,blue,0,might
6.574516666666667,bare,8,0,60,blue,0,might
6.574516666666667,bare,8,0,75,blue,0,might
6.574516666666667,bare,8,0,90,blue,0,might
6.574516666666667,bare,8,10,100,blue,0,might
6.574516666666667,probably,8,0,0,orange,0,might
6.574516666666667,probably,8,1,10,orange,0,might
6.574516666666667,probably,8,4,25,orange,0,might
6.574516666666667,probably,8,4,40,orange,0,might
6.574516666666667,probably,8,1,50,orange,0,might
6.574516666666667,probably,8,0,60,orange,0,might
6.574516666666667,probably,8,0,75,orange,0,might
6.574516666666667,probably,8,0,90,orange,0,might
6.574516666666667,probably,8,0,100,orange,0,might
6.574516666666667,bare,8,10,0,orange,0,might
6.574516666666667,bare,8,0,10,orange,0,might
6.574516666666667,bare,8,0,25,orange,0,might
6.574516666666667,bare,8,0,40,orange,0,might
6.574516666666667,bare,8,0,50,orange,0,might
6.574516666666667,bare,8,0,60,orange,0,might
6.574516666666667,bare,8,0,75,orange,0,might
6.574516666666667,bare,8,0,90,orange,0,might
6.574516666666667,bare,8,0,100,orange,0,might
6.574516666666667,might,8,0,0,orange,0,might
6.574516666666667,might,8,0,10,orange,0,might
6.574516666666667,might,8,2,25,orange,0,might
6.574516666666667,might,8,4,40,orange,0,might
6.574516666666667,might,8,3,50,orange,0,might
6.574516666666667,might,8,1,60,orange,0,might
6.574516666666667,might,8,0,75,orange,0,might
6.574516666666667,might,8,0,90,orange,0,might
6.574516666666667,might,8,0,100,orange,0,might
6.574516666666667,probably,8,0,0,blue,0,might
6.574516666666667,probably,8,0,10,blue,0,might
6.574516666666667,probably,8,0,25,blue,0,might
6.574516666666667,probably,8,0,40,blue,0,might
6.574516666666667,probably,8,0,50,blue,0,might
6.574516666666667,probably,8,1,60,blue,0,might
6.574516666666667,probably,8,3,75,blue,0,might
6.574516666666667,probably,8,6,90,blue,0,might
6.574516666666667,probably,8,0,100,blue,0,might
4.921766666666667,might,9,0,0,orange,1,might
4.921766666666667,might,9,0,10,orange,1,might
4.921766666666667,might,9,0,25,orange,1,might
4.921766666666667,might,9,0,40,orange,1,might
4.921766666666667,might,9,0,50,orange,1,might
4.921766666666667,might,9,2,60,orange,1,might
4.921766666666667,might,9,5,75,orange,1,might
4.921766666666667,might,9,2,90,orange,1,might
4.921766666666667,might,9,1,100,orange,1,might
4.921766666666667,probably,9,0,0,blue,1,might
4.921766666666667,probably,9,0,10,blue,1,might
4.921766666666667,probably,9,0,25,blue,1,might
4.921766666666667,probably,9,0,40,blue,1,might
4.921766666666667,probably,9,0,50,blue,1,might
4.921766666666667,probably,9,0,60,blue,1,might
4.921766666666667,probably,9,3,75,blue,1,might
4.921766666666667,probably,9,6,90,blue,1,might
4.921766666666667,probably,9,1,100,blue,1,might
4.921766666666667,bare,9,0,0,blue,1,might
4.921766666666667,bare,9,0,10,blue,1,might
4.921766666666667,bare,9,0,25,blue,1,might
4.921766666666667,bare,9,0,40,blue,1,might
4.921766666666667,bare,9,0,50,blue,1,might
4.921766666666667,bare,9,0,60,blue,1,might
4.921766666666667,bare,9,0,75,blue,1,might
4.921766666666667,bare,9,0,90,blue,1,might
4.921766666666667,bare,9,10,100,blue,1,might
4.921766666666667,probably,9,0,0,orange,1,might
4.921766666666667,probably,9,0,10,orange,1,might
4.921766666666667,probably,9,0,25,orange,1,might
4.921766666666667,probably,9,0,40,orange,1,might
4.921766666666667,probably,9,0,50,orange,1,might
4.921766666666667,probably,9,0,60,orange,1,might
4.921766666666667,probably,9,10,75,orange,1,might
4.921766666666667,probably,9,0,90,orange,1,might
4.921766666666667,probably,9,0,100,orange,1,might
4.921766666666667,bare,9,10,0,orange,1,might
4.921766666666667,bare,9,0,10,orange,1,might
4.921766666666667,bare,9,0,25,orange,1,might
4.921766666666667,bare,9,0,40,orange,1,might
4.921766666666667,bare,9,0,50,orange,1,might
4.921766666666667,bare,9,0,60,orange,1,might
4.921766666666667,bare,9,0,75,orange,1,might
4.921766666666667,bare,9,0,90,orange,1,might
4.921766666666667,bare,9,0,100,orange,1,might
4.921766666666667,might,9,0,0,blue,1,might
4.921766666666667,might,9,0,10,blue,1,might
4.921766666666667,might,9,0,25,blue,1,might
4.921766666666667,might,9,0,40,blue,1,might
4.921766666666667,might,9,0,50,blue,1,might
4.921766666666667,might,9,1,60,blue,1,might
4.921766666666667,might,9,7,75,blue,1,might
4.921766666666667,might,9,1,90,blue,1,might
4.921766666666667,might,9,1,100,blue,1,might
6.043966666666667,bare,10,0,0,blue,0,might
6.043966666666667,bare,10,0,10,blue,0,might
6.043966666666667,bare,10,0,25,blue,0,might
6.043966666666667,bare,10,0,40,blue,0,might
6.043966666666667,bare,10,0,50,blue,0,might
6.043966666666667,bare,10,0,60,blue,0,might
6.043966666666667,bare,10,0,75,blue,0,might
6.043966666666667,bare,10,0,90,blue,0,might
6.043966666666667,bare,10,10,100,blue,0,might
6.043966666666667,might,10,0,0,orange,0,might
6.043966666666667,might,10,0,10,orange,0,might
6.043966666666667,might,10,3,25,orange,0,might
6.043966666666667,might,10,5,40,orange,0,might
6.043966666666667,might,10,2,50,orange,0,might
6.043966666666667,might,10,0,60,orange,0,might
6.043966666666667,might,10,0,75,orange,0,might
6.043966666666667,might,10,0,90,orange,0,might
6.043966666666667,might,10,0,100,orange,0,might
6.043966666666667,probably,10,0,0,blue,0,might
6.043966666666667,probably,10,0,10,blue,0,might
6.043966666666667,probably,10,0,25,blue,0,might
6.043966666666667,probably,10,0,40,blue,0,might
6.043966666666667,probably,10,0,50,blue,0,might
6.043966666666667,probably,10,0,60,blue,0,might
6.043966666666667,probably,10,1,75,blue,0,might
6.043966666666667,probably,10,9,90,blue,0,might
6.043966666666667,probably,10,0,100,blue,0,might
6.043966666666667,bare,10,10,0,orange,0,might
6.043966666666667,bare,10,0,10,orange,0,might
6.043966666666667,bare,10,0,25,orange,0,might
6.043966666666667,bare,10,0,40,orange,0,might
6.043966666666667,bare,10,0,50,orange,0,might
6.043966666666667,bare,10,0,60,orange,0,might
6.043966666666667,bare,10,0,75,orange,0,might
6.043966666666667,bare,10,0,90,orange,0,might
6.043966666666667,bare,10,0,100,orange,0,might
6.043966666666667,might,10,0,0,blue,0,might
6.043966666666667,might,10,0,10,blue,0,might
6.043966666666667,might,10,0,25,blue,0,might
6.043966666666667,might,10,0,40,blue,0,might
6.043966666666667,might,10,0,50,blue,0,might
6.043966666666667,might,10,6,60,blue,0,might
6.043966666666667,might,10,4,75,blue,0,might
6.043966666666667,might,10,0,90,blue,0,might
6.043966666666667,might,10,0,100,blue,0,might
6.043966666666667,probably,10,0,0,orange,0,might
6.043966666666667,probably,10,8,10,orange,0,might
6.043966666666667,probably,10,2,25,orange,0,might
6.043966666666667,probably,10,0,40,orange,0,might
6.043966666666667,probably,10,0,50,orange,0,might
6.043966666666667,probably,10,0,60,orange,0,might
6.043966666666667,probably,10,0,75,orange,0,might
6.043966666666667,probably,10,0,90,orange,0,might
6.043966666666667,probably,10,0,100,orange,0,might
6.15675,might,11,0,0,blue,0,might
6.15675,might,11,0,10,blue,0,might
6.15675,might,11,0,25,blue,0,might
6.15675,might,11,0,40,blue,0,might
6.15675,might,11,0,50,blue,0,might
6.15675,might,11,7,60,blue,0,might
6.15675,might,11,3,75,blue,0,might
6.15675,might,11,0,90,blue,0,might
6.15675,might,11,0,100,blue,0,might
6.15675,probably,11,0,0,blue,0,might
6.15675,probably,11,0,10,blue,0,might
6.15675,probably,11,0,25,blue,0,might
6.15675,probably,11,0,40,blue,0,might
6.15675,probably,11,0,50,blue,0,might
6.15675,probably,11,0,60,blue,0,might
6.15675,probably,11,5,75,blue,0,might
6.15675,probably,11,5,90,blue,0,might
6.15675,probably,11,0,100,blue,0,might
6.15675,probably,11,0,0,orange,0,might
6.15675,probably,11,5,10,orange,0,might
6.15675,probably,11,5,25,orange,0,might
6.15675,probably,11,0,40,orange,0,might
6.15675,probably,11,0,50,orange,0,might
6.15675,probably,11,0,60,orange,0,might
6.15675,probably,11,0,75,orange,0,might
6.15675,probably,11,0,90,orange,0,might
6.15675,probably,11,0,100,orange,0,might
6.15675,bare,11,0,0,blue,0,might
6.15675,bare,11,0,10,blue,0,might
6.15675,bare,11,0,25,blue,0,might
6.15675,bare,11,0,40,blue,0,might
