modal,color,rating,Answer.condition,Answer.misread_instructions,percentage_blue,workerid,Answer.time_in_minutes
probably,blue,0,probably,0,100,4,8.2352
bare,orange,10,probably,0,0,4,8.2352
bare,orange,0,probably,0,10,4,8.2352
bare,orange,0,probably,0,25,4,8.2352
bare,orange,0,probably,0,40,4,8.2352
bare,orange,0,probably,0,50,4,8.2352
bare,orange,0,probably,0,60,4,8.2352
bare,orange,0,probably,0,75,4,8.2352
bare,orange,0,probably,0,90,4,8.2352
bare,orange,0,probably,0,100,4,8.2352
bare,blue,0,probably,0,0,5,4.693983333333334
bare,blue,0,probably,0,10,5,4.693983333333334
bare,blue,0,probably,0,25,5,4.693983333333334
bare,blue,0,probably,0,40,5,4.693983333333334
bare,blue,0,probably,0,50,5,4.693983333333334
bare,blue,0,probably,0,60,5,4.693983333333334
bare,blue,0,probably,0,75,5,4.693983333333334
bare,blue,0,probably,0,90,5,4.693983333333334
bare,blue,10,probably,0,100,5,4.693983333333334
might,blue,0,probably,0,0,5,4.693983333333334
might,blue,2,probably,0,10,5,4.693983333333334
might,blue,6,probably,0,25,5,4.693983333333334
might,blue,2,probably,0,40,5,4.693983333333334
might,blue,0,probably,0,50,5,4.693983333333334
might,blue,0,probably,0,60,5,4.693983333333334
might,blue,0,probably,0,75,5,4.693983333333334
might,blue,0,probably,0,90,5,4.693983333333334
might,blue,0,probably,0,100,5,4.693983333333334
bare,orange,10,probably,0,0,5,4.693983333333334
bare,orange,0,probably,0,10,5,4.693983333333334
bare,orange,0,probably,0,25,5,4.693983333333334
bare,orange,0,probably,0,40,5,4.693983333333334
bare,orange,0,probably,0,50,5,4.693983333333334
bare,orange,0,probably,0,60,5,4.693983333333334
bare,orange,0,probably,0,75,5,4.693983333333334
bare,orange,0,probably,0,90,5,4.693983333333334
bare,orange,0,probably,0,100,5,4.693983333333334
might,orange,0,probably,0,0,5,4.693983333333334
might,orange,0,probably,0,10,5,4.693983333333334
might,orange,0,probably,0,25,5,4.693983333333334
might,orange,0,probably,0,40,5,4.693983333333334
might,orange,0,probably,0,50,5,4.693983333333334
might,orange,2,probably,0,60,5,4.693983333333334
might,orange,5,probably,0,75,5,4.693983333333334
might,orange,3,probably,0,90,5,4.693983333333334
might,orange,0,probably,0,100,5,4.693983333333334
probably,blue,0,probably,0,0,5,4.693983333333334
probably,blue,0,probably,0,10,5,4.693983333333334
probably,blue,0,probably,0,25,5,4.693983333333334
probably,blue,0,probably,0,40,5,4.693983333333334
probably,blue,0,probably,0,50,5,4.693983333333334
probably,blue,3,probably,0,60,5,4.693983333333334
probably,blue,4,probably,0,75,5,4.693983333333334
probably,blue,3,probably,0,90,5,4.693983333333334
probably,blue,0,probably,0,100,5,4.693983333333334
probably,orange,0,probably,0,0,5,4.693983333333334
probably,orange,3,probably,0,10,5,4.693983333333334
probably,orange,4,probably,0,25,5,4.693983333333334
probably,orange,3,probably,0,40,5,4.693983333333334
probably,orange,0,probably,0,50,5,4.693983333333334
probably,orange,0,probably,0,60,5,4.693983333333334
probably,orange,0,probably,0,75,5,4.693983333333334
probably,orange,0,probably,0,90,5,4.693983333333334
probably,orange,0,probably,0,100,5,4.693983333333334
bare,orange,2,probably,0,0,6,9.380733333333334
bare,orange,1,probably,0,10,6,9.380733333333334
bare,orange,1,probably,0,25,6,9.380733333333334
bare,orange,1,probably,0,40,6,9.380733333333334
bare,orange,1,probably,0,50,6,9.380733333333334
bare,orange,1,probably,0,60,6,9.380733333333334
bare,orange,1,probably,0,75,6,9.380733333333334
bare,orange,1,probably,0,90,6,9.380733333333334
bare,orange,1,probably,0,100,6,9.380733333333334
probably,orange,1,probably,0,0,6,9.380733333333334
probably,orange,1,probably,0,10,6,9.380733333333334
probably,orange,2,probably,0,25,6,9.380733333333334
probably,orange,1,probably,0,40,6,9.380733333333334
probably,orange,1,probably,0,50,6,9.380733333333334
probably,orange,1,probably,0,60,6,9.380733333333334
probably,orange,1,probably,0,75,6,9.380733333333334
probably,orange,1,probably,0,90,6,9.380733333333334
probably,orange,1,probably,0,100,6,9.380733333333334
might,blue,1,probably,0,0,6,9.380733333333334
might,blue,2,probably,0,10,6,9.380733333333334
might,blue,1,probably,0,25,6,9.380733333333334
might,blue,1,probably,0,40,6,9.380733333333334
might,blue,1,probably,0,50,6,9.380733333333334
might,blue,1,probably,0,60,6,9.380733333333334
might,blue,1,probably,0,75,6,9.380733333333334
might,blue,1,probably,0,90,6,9.380733333333334
might,blue,1,probably,0,100,6,9.380733333333334
might,orange,2,probably,0,0,6,9.380733333333334
might,orange,1,probably,0,10,6,9.380733333333334
might,orange,1,probably,0,25,6,9.380733333333334
might,orange,1,probably,0,40,6,9.380733333333334
might,orange,1,probably,0,50,6,9.380733333333334
might,orange,1,probably,0,60,6,9.380733333333334
might,orange,1,probably,0,75,6,9.380733333333334
might,orange,1,probably,0,90,6,9.380733333333334
might,orange,1,probably,0,100,6,9.380733333333334
bare,blue,1,probably,0,0,6,9.380733333333334
bare,blue,1,probably,0,10,6,9.380733333333334
bare,blue,1,probably,0,25,6,9.380733333333334
bare,blue,2,probably,0,40,6,9.380733333333334
bare,blue,1,probably,0,50,6,9.380733333333334
bare,blue,1,probably,0,60,6,9.380733333333334
bare,blue,1,probably,0,75,6,9.380733333333334
bare,blue,1,probably,0,90,6,9.380733333333334
bare,blue,1,probably,0,100,6,9.380733333333334
probably,blue,1,probably,0,0,6,9.380733333333334
probably,blue,1,probably,0,10,6,9.380733333333334
probably,blue,1,probably,0,25,6,9.380733333333334
probably,blue,1,probably,0,40,6,9.380733333333334
probably,blue,1,probably,0,50,6,9.380733333333334
probably,blue,1,probably,0,60,6,9.380733333333334
probably,blue,1,probably,0,75,6,9.380733333333334
probably,blue,1,probably,0,90,6,9.380733333333334
probably,blue,2,probably,0,100,6,9.380733333333334
probably,blue,0,probably,0,0,7,7.89585
probably,blue,0,probably,0,10,7,7.89585
probably,blue,0,probably,0,25,7,7.89585
probably,blue,0,probably,0,40,7,7.89585
probably,blue,0,probably,0,50,7,7.89585
probably,blue,4,probably,0,60,7,7.89585
probably,blue,6,probably,0,75,7,7.89585
probably,blue,0,probably,0,90,7,7.89585
probably,blue,0,probably,0,100,7,7.89585
might,blue,0,probably,0,0,7,7.89585
might,blue,1,probably,0,10,7,7.89585
might,blue,3,probably,0,25,7,7.89585
might,blue,5,probably,0,40,7,7.89585
might,blue,1,probably,0,50,7,7.89585
might,blue,0,probably,0,60,7,7.89585
might,blue,0,probably,0,75,7,7.89585
might,blue,0,probably,0,90,7,7.89585
might,blue,0,probably,0,100,7,7.89585
probably,orange,0,probably,0,0,7,7.89585
probably,orange,5,probably,0,10,7,7.89585
probably,orange,3,probably,0,25,7,7.89585
probably,orange,2,probably,0,40,7,7.89585
probably,orange,0,probably,0,50,7,7.89585
probably,orange,0,probably,0,60,7,7.89585
probably,orange,0,probably,0,75,7,7.89585
probably,orange,0,probably,0,90,7,7.89585
probably,orange,0,probably,0,100,7,7.89585
bare,blue,0,probably,0,0,7,7.89585
bare,blue,0,probably,0,10,7,7.89585
bare,blue,0,probably,0,25,7,7.89585
bare,blue,0,probably,0,40,7,7.89585
bare,blue,0,probably,0,50,7,7.89585
bare,blue,0,probably,0,60,7,7.89585
bare,blue,0,probably,0,75,7,7.89585
bare,blue,0,probably,0,90,7,7.89585
bare,blue,10,probably,0,100,7,7.89585
might,orange,0,probably,0,0,7,7.89585
might,orange,0,probably,0,10,7,7.89585
might,orange,0,probably,0,25,7,7.89585
might,orange,0,probably,0,40,7,7.89585
might,orange,0,probably,0,50,7,7.89585
might,orange,1,probably,0,60,7,7.89585
might,orange,5,probably,0,75,7,7.89585
might,orange,4,probably,0,90,7,7.89585
might,orange,0,probably,0,100,7,7.89585
bare,orange,10,probably,0,0,7,7.89585
bare,orange,0,probably,0,10,7,7.89585
bare,orange,0,probably,0,25,7,7.89585
bare,orange,0,probably,0,40,7,7.89585
bare,orange,0,probably,0,50,7,7.89585
bare,orange,0,probably,0,60,7,7.89585
bare,orange,0,probably,0,75,7,7.89585
bare,orange,0,probably,0,90,7,7.89585
bare,orange,0,probably,0,100,7,7.89585
bare,orange,10,probably,1,0,8,15.586866666666667
bare,orange,0,probably,1,10,8,15.586866666666667
bare,orange,0,probably,1,25,8,15.586866666666667
bare,orange,0,probably,1,40,8,15.586866666666667
bare,orange,0,probably,1,50,8,15.586866666666667
bare,orange,0,probably,1,60,8,15.586866666666667
bare,orange,0,probably,1,75,8,15.586866666666667
bare,orange,0,probably,1,90,8,15.586866666666667
bare,orange,0,probably,1,100,8,15.586866666666667
bare,blue,0,probably,1,0,8,15.586866666666667
bare,blue,0,probably,1,10,8,15.586866666666667
bare,blue,0,probably,1,25,8,15.586866666666667
bare,blue,0,probably,1,40,8,15.586866666666667
bare,blue,0,probably,1,50,8,15.586866666666667
bare,blue,0,probably,1,60,8,15.586866666666667
bare,blue,0,probably,1,75,8,15.586866666666667
bare,blue,0,probably,1,90,8,15.586866666666667
bare,blue,10,probably,1,100,8,15.586866666666667
might,blue,0,probably,1,0,8,15.586866666666667
might,blue,0,probably,1,10,8,15.586866666666667
might,blue,0,probably,1,25,8,15.586866666666667
might,blue,0,probably,1,40,8,15.586866666666667
might,blue,0,probably,1,50,8,15.586866666666667
might,blue,0,probably,1,60,8,15.586866666666667
might,blue,0,probably,1,75,8,15.586866666666667
might,blue,0,probably,1,90,8,15.586866666666667
might,blue,10,probably,1,100,8,15.586866666666667
probably,blue,0,probably,1,0,8,15.586866666666667
probably,blue,0,probably,1,10,8,15.586866666666667
probably,blue,0,probably,1,25,8,15.586866666666667
probably,blue,0,probably,1,40,8,15.586866666666667
probably,blue,0,probably,1,50,8,15.586866666666667
probably,blue,0,probably,1,60,8,15.586866666666667
probably,blue,0,probably,1,75,8,15.586866666666667
probably,blue,0,probably,1,90,8,15.586866666666667
probably,blue,10,probably,1,100,8,15.586866666666667
probably,orange,10,probably,1,0,8,15.586866666666667
probably,orange,0,probably,1,10,8,15.586866666666667
probably,orange,0,probably,1,25,8,15.586866666666667
probably,orange,0,probably,1,40,8,15.586866666666667
probably,orange,0,probably,1,50,8,15.586866666666667
probably,orange,0,probably,1,60,8,15.586866666666667
probably,orange,0,probably,1,75,8,15.586866666666667
probably,orange,0,probably,1,90,8,15.586866666666667
probably,orange,0,probably,1,100,8,15.586866666666667
might,orange,10,probably,1,0,8,15.586866666666667
might,orange,0,probably,1,10,8,15.586866666666667
might,orange,0,probably,1,25,8,15.586866666666667
might,orange,0,probably,1,40,8,15.586866666666667
might,orange,0,probably,1,50,8,15.586866666666667
might,orange,0,probably,1,60,8,15.586866666666667
might,orange,0,probably,1,75,8,15.586866666666667
might,orange,0,probably,1,90,8,15.586866666666667
might,orange,0,probably,1,100,8,15.586866666666667
bare,orange,10,probably,0,0,9,5.654
bare,orange,0,probably,0,10,9,5.654
bare,orange,0,probably,0,25,9,5.654
bare,orange,0,probably,0,40,9,5.654
bare,orange,0,probably,0,50,9,5.654
bare,orange,0,probably,0,60,9,5.654
bare,orange,0,probably,0,75,9,5.654
bare,orange,0,probably,0,90,9,5.654
bare,orange,0,probably,0,100,9,5.654
probably,orange,0,probably,0,0,9,5.654
probably,orange,4,probably,0,10,9,5.654
probably,orange,6,probably,0,25,9,5.654
probably,orange,0,probably,0,40,9,5.654
probably,orange,0,probably,0,50,9,5.654
probably,orange,0,probably,0,60,9,5.654
probably,orange,0,probably,0,75,9,5.654
probably,orange,0,probably,0,90,9,5.654
probably,orange,0,probably,0,100,9,5.654
bare,blue,0,probably,0,0,9,5.654
bare,blue,0,probably,0,10,9,5.654
bare,blue,0,probably,0,25,9,5.654
bare,blue,0,probably,0,40,9,5.654
bare,blue,0,probably,0,50,9,5.654
bare,blue,0,probably,0,60,9,5.654
bare,blue,0,probably,0,75,9,5.654
bare,blue,0,probably,0,90,9,5.654
bare,blue,10,probably,0,100,9,5.654
might,blue,0,probably,0,0,9,5.654
might,blue,6,probably,0,10,9,5.654
might,blue,4,probably,0,25,9,5.654
might,blue,0,probably,0,40,9,5.654
might,blue,0,probably,0,50,9,5.654
might,blue,0,probably,0,60,9,5.654
might,blue,0,probably,0,75,9,5.654
might,blue,0,probably,0,90,9,5.654
might,blue,0,probably,0,100,9,5.654
might,orange,0,probably,0,0,9,5.654
might,orange,0,probably,0,10,9,5.654
might,orange,0,probably,0,25,9,5.654
might,orange,0,probably,0,40,9,5.654
might,orange,0,probably,0,50,9,5.654
might,orange,0,probably,0,60,9,5.654
might,orange,5,probably,0,75,9,5.654
might,orange,5,probably,0,90,9,5.654
might,orange,0,probably,0,100,9,5.654
probably,blue,0,probably,0,0,9,5.654
probably,blue,0,probably,0,10,9,5.654
probably,blue,0,probably,0,25,9,5.654
probably,blue,0,probably,0,40,9,5.654
probably,blue,0,probably,0,50,9,5.654
probably,blue,0,probably,0,60,9,5.654
probably,blue,5,probably,0,75,9,5.654
probably,blue,5,probably,0,90,9,5.654
probably,blue,0,probably,0,100,9,5.654
probably,blue,0,probably,0,0,10,4.667983333333333
probably,blue,0,probably,0,10,10,4.667983333333333
probably,blue,0,probably,0,25,10,4.667983333333333
probably,blue,0,probably,0,40,10,4.667983333333333
probably,blue,0,probably,0,50,10,4.667983333333333
probably,blue,4,probably,0,60,10,4.667983333333333
probably,blue,5,probably,0,75,10,4.667983333333333
probably,blue,1,probably,0,90,10,4.667983333333333
probably,blue,0,probably,0,100,10,4.667983333333333
probably,orange,0,probably,0,0,10,4.667983333333333
probably,orange,2,probably,0,10,10,4.667983333333333
probably,orange,5,probably,0,25,10,4.667983333333333
probably,orange,3,probably,0,40,10,4.667983333333333
probably,orange,0,probably,0,50,10,4.667983333333333
probably,orange,0,probably,0,60,10,4.667983333333333
probably,orange,0,probably,0,75,10,4.667983333333333
probably,orange,0,probably,0,90,10,4.667983333333333
probably,orange,0,probably,0,100,10,4.667983333333333
might,blue,0,probably,0,0,10,4.667983333333333
might,blue,1,probably,0,10,10,4.667983333333333
might,blue,4,probably,0,25,10,4.667983333333333
might,blue,4,probably,0,40,10,4.667983333333333
might,blue,1,probably,0,50,10,4.667983333333333
might,blue,0,probably,0,60,10,4.667983333333333
might,blue,0,probably,0,75,10,4.667983333333333
might,blue,0,probably,0,90,10,4.667983333333333
might,blue,0,probably,0,100,10,4.667983333333333
bare,blue,0,probably,0,0,10,4.667983333333333
bare,blue,0,probably,0,10,10,4.667983333333333
bare,blue,0,probably,0,25,10,4.667983333333333
bare,blue,0,probably,0,40,10,4.667983333333333
bare,blue,0,probably,0,50,10,4.667983333333333
bare,blue,0,probably,0,60,10,4.667983333333333
bare,blue,0,probably,0,75,10,4.667983333333333
bare,blue,0,probably,0,90,10,4.667983333333333
bare,blue,10,probably,0,100,10,4.667983333333333
might,orange,0,probably,0,0,10,4.667983333333333
might,orange,0,probably,0,10,10,4.667983333333333
might,orange,0,probably,0,25,10,4.667983333333333
might,orange,1,probably,0,40,10,4.667983333333333
might,orange,3,probably,0,50,10,4.667983333333333
might,orange,3,probably,0,60,10,4.667983333333333
might,orange,2,probably,0,75,10,4.667983333333333
might,orange,1,probably,0,90,10,4.667983333333333
might,orange,0,probably,0,100,10,4.667983333333333
