image,modal,color,correct_answer,catch_trial_answer_correct,video,catch_trial,percentage_blue,workerid
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,1
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,1
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,1
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,1
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,1
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,1
scene_blue_video_60.gif,probably,blue,2,1,blue_probably_m,1,60,1
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,1
scene_orange_video_75.gif,might,orange,1,1,orange_might_m,1,75,1
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,1
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,1
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,1
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,1
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,1
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,1
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,1
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,1
scene_blue_video_100.gif,bare,blue,1,1,blue_bare_m,1,100,1
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,2
scene_blue_video_25.gif,might,blue,2,1,blue_might_m,1,25,2
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,2
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,2
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,2
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,2
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,2
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,2
scene_blue_video_25.gif,might,blue,1,1,blue_might_m,1,25,2
scene_blue_video_60.gif,probably,blue,2,1,blue_probably_m,1,60,2
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,2
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,2
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,2
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,2
scene_blue_video_60.gif,probably,blue,1,1,blue_probably_m,1,60,2
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,2
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,2
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,2
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,2
scene_orange_video_0.gif,bare,orange,2,1,orange_bare_m,1,0,2
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,2
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,2
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,2
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,2
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,2
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,3
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,3
scene_blue_video_25.gif,might,blue,1,0,blue_might_m,1,25,3
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,3
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,3
scene_orange_video_0.gif,bare,orange,1,1,orange_bare_m,1,0,3
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,3
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,3
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,3
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,3
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,3
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,3
scene_orange_video_75.gif,might,orange,1,1,orange_might_m,1,75,3
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,3
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,3
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,3
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,3
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,3
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,3
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,3
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,3
scene_blue_video_25.gif,might,blue,1,1,blue_might_m,1,25,3
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,3
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,3
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,3
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,4
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,4
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,4
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,4
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,4
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,4
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,4
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,4
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,4
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,4
scene_blue_video_25.gif,might,blue,2,1,blue_might_m,1,25,4
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,4
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,4
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,4
scene_orange_video_75.gif,might,orange,2,1,orange_might_m,1,75,4
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,4
scene_orange_video_40.gif,probably,orange,1,0,orange_probably_m,1,40,4
scene_orange_video_75.gif,might,orange,1,1,orange_might_m,1,75,4
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,4
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,4
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,4
scene_blue_video_100.gif,bare,blue,1,1,blue_bare_m,1,100,4
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,4
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,4
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,4
scene_blue_video_60.gif,probably,blue,1,1,blue_probably_m,1,60,5
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,5
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,5
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,5
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,5
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,5
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,5
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,5
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,5
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,5
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,5
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,5
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,5
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,5
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,5
scene_blue_video_60.gif,probably,blue,2,1,blue_probably_m,1,60,5
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,5
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,5
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,5
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,5
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,5
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,5
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,5
scene_blue_video_25.gif,might,blue,2,1,blue_might_m,1,25,5
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,5
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,6
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,6
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,6
scene_blue_video_100.gif,bare,blue,2,0,blue_bare_m,1,100,6
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,6
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,6
scene_orange_video_75.gif,might,orange,2,1,orange_might_m,1,75,6
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,6
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,6
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,6
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,6
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,6
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,6
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,6
scene_blue_video_25.gif,might,blue,1,0,blue_might_m,1,25,6
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,6
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,6
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,6
scene_blue_video_60.gif,probably,blue,2,1,blue_probably_m,1,60,6
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,6
scene_blue_video_60.gif,probably,blue,1,1,blue_probably_m,1,60,6
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,6
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,6
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,6
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,6
scene_blue_video_25.gif,might,blue,2,1,blue_might_m,1,25,7
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,7
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,7
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,7
scene_orange_video_0.gif,bare,orange,1,1,orange_bare_m,1,0,7
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,7
scene_orange_video_75.gif,might,orange,2,1,orange_might_m,1,75,7
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,7
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,7
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,7
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,7
scene_blue_video_60.gif,probably,blue,1,1,blue_probably_m,1,60,7
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,7
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,7
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,7
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,7
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,7
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,7
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,7
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,7
scene_blue_video_25.gif,might,blue,2,1,blue_might_m,1,25,7
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,7
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,7
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,7
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,7
scene_blue_video_25.gif,might,blue,2,0,blue_might_m,1,25,8
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,8
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,8
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,8
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,8
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,8
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,8
scene_blue_video_60.gif,probably,blue,2,0,blue_probably_m,1,60,8
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,8
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,8
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,8
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,8
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,8
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,8
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,8
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,8
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,8
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,8
scene_blue_video_60.gif,probably,blue,1,1,blue_probably_m,1,60,8
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,8
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,8
scene_orange_video_75.gif,might,orange,1,1,orange_might_m,1,75,8
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,8
scene_orange_video_40.gif,probably,orange,2,0,orange_probably_m,1,40,8
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,8
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,9
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,9
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,9
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,9
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,9
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,9
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,9
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,9
scene_orange_video_75.gif,might,orange,2,1,orange_might_m,1,75,9
scene_blue_video_25.gif,might,blue,2,1,blue_might_m,1,25,9
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,9
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,9
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,9
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,9
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,9
scene_orange_video_75.gif,might,orange,2,1,orange_might_m,1,75,9
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,9
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,9
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,9
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,9
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,9
scene_orange_video_75.gif,might,orange,2,1,orange_might_m,1,75,9
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,9
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,9
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,9
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,10
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,10
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,10
scene_blue_video_60.gif,probably,blue,2,1,blue_probably_m,1,60,10
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,10
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,10
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,10
scene_blue_video_100.gif,bare,blue,2,1,blue_bare_m,1,100,10
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,10
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,10
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,10
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,10
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,10
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,10
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,10
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,10
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,10
scene_blue_video_25.gif,might,blue,2,1,blue_might_m,1,25,10
scene_orange_video_75.gif,might,orange,2,1,orange_might_m,1,75,10
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,10
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,10
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,10
scene_blue_video_60.gif,probably,blue,2,1,blue_probably_m,1,60,10
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,10
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,10
scene_blue_video_100.gif,bare,blue,1,1,blue_bare_m,1,100,11
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,11
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,11
scene_blue_video_60.gif,probably,blue,1,1,blue_probably_m,1,60,11
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,11
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,11
scene_blue_video_60.gif,probably,blue,2,1,blue_probably_m,1,60,11
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,11
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,11
scene_blue_video_60.gif,probably,blue,1,1,blue_probably_m,1,60,11
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,11
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,11
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,11
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,11
scene_orange_video_75.gif,might,orange,2,0,orange_might_m,1,75,11
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,11
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,11
scene_blue_video_100.gif,bare,blue,1,1,blue_bare_m,1,100,11
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,11
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,11
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,11
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,11
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,11
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,11
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,11
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,12
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,12
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,12
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,12
scene_orange_video_0.gif,bare,orange,1,1,orange_bare_m,1,0,12
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,12
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,12
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,12
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,12
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,12
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,12
scene_blue_video_25.gif,might,blue,1,1,blue_might_m,1,25,12
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,12
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,12
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,12
scene_blue_video_100.gif,bare,blue,1,1,blue_bare_m,1,100,12
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,12
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,12
scene_blue_video_25.gif,might,blue,1,1,blue_might_m,1,25,12
scene_blue_video_60.gif,probably,blue,1,1,blue_probably_m,1,60,12
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,12
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,12
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,12
scene_orange_video_0.gif,bare,orange,2,1,orange_bare_m,1,0,12
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,12
scene_blue_video_60.gif,probably,blue,1,1,blue_probably_m,1,60,13
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,13
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,13
scene_blue_video_25.gif,might,blue,1,1,blue_might_m,1,25,13
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,13
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,13
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,13
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,13
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,13
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,13
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,13
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,13
scene_orange_video_75.gif,might,orange,2,1,orange_might_m,1,75,13
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,13
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,13
scene_orange_video_0.gif,bare,orange,2,1,orange_bare_m,1,0,13
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,13
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,13
scene_blue_video_25.gif,might,blue,2,1,blue_might_m,1,25,13
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,13
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,13
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,13
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,13
scene_blue_video_100.gif,bare,blue,1,1,blue_bare_m,1,100,13
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,13
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,14
scene_orange_video_75.gif,might,orange,2,1,orange_might_m,1,75,14
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,14
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,14
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,14
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,14
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,14
scene_orange_video_40.gif,probably,orange,2,1,orange_probably_m,1,40,14
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,14
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,14
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,14
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,14
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,14
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,14
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,14
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,14
scene_orange_video_0.gif,bare,orange,,-1,orange_bare_m,0,0,14
scene_orange_video_75.gif,might,orange,1,1,orange_might_m,1,75,14
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,14
scene_orange_video_75.gif,might,orange,1,1,orange_might_m,1,75,14
scene_orange_video_75.gif,might,orange,,-1,orange_might_m,0,75,14
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,14
scene_orange_video_0.gif,bare,orange,2,1,orange_bare_m,1,0,14
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,14
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,14
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,15
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,15
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,15
scene_blue_video_25.gif,might,blue,,-1,blue_might_m,0,25,15
scene_blue_video_60.gif,probably,blue,,-1,blue_probably_m,0,60,15
scene_orange_video_40.gif,probably,orange,,-1,orange_probably_m,0,40,15
scene_blue_video_100.gif,bare,blue,,-1,blue_bare_m,0,100,15
scene_orange_video_40.gif,probably,orange,1,1,orange_probably_m,1,40,15
scene_blue_video_25.gif,might,blue,2,1,blue_might_m,1,25,15
