workerid,percentage_blue,image,catch_trial_answer_correct,color,modal,correct_answer,video,catch_trial
1,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
1,40,scene_orange_video_40.gif,0,orange,might,2,orange_might_m,1
2,40,scene_orange_video_40.gif,1,orange,might,2,orange_might_m,1
2,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
2,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
2,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
2,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
2,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
2,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
2,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
2,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
2,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
2,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
2,90,scene_blue_video_90.gif,1,blue,probably,2,blue_probably_m,1
2,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
2,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
2,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
2,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
2,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
2,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
2,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
2,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
2,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
2,60,scene_blue_video_60.gif,1,blue,might,2,blue_might_m,1
2,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
2,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
2,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
3,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
3,0,scene_orange_video_0.gif,1,orange,bare,1,orange_bare_m,1
3,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
3,60,scene_blue_video_60.gif,1,blue,might,2,blue_might_m,1
3,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
3,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
3,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
3,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
3,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
3,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
3,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
3,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
3,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
3,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
3,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
3,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
3,60,scene_blue_video_60.gif,1,blue,might,2,blue_might_m,1
3,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
3,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
3,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
3,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
3,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
3,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
3,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
3,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
4,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
4,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
4,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
4,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
4,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
4,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
4,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
4,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
4,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
4,60,scene_blue_video_60.gif,1,blue,might,1,blue_might_m,1
4,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
4,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
4,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
4,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
4,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
4,100,scene_blue_video_100.gif,1,blue,bare,2,blue_bare_m,1
4,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
4,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
4,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
4,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
4,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
4,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
4,100,scene_blue_video_100.gif,1,blue,bare,1,blue_bare_m,1
4,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
4,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
5,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
5,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
5,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
5,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
5,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
5,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
5,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
5,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
5,100,scene_blue_video_100.gif,1,blue,bare,2,blue_bare_m,1
5,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
5,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
5,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
5,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
5,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
5,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
5,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
5,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
5,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
5,60,scene_blue_video_60.gif,1,blue,might,1,blue_might_m,1
5,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
5,100,scene_blue_video_100.gif,1,blue,bare,2,blue_bare_m,1
5,60,scene_blue_video_60.gif,1,blue,might,1,blue_might_m,1
5,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
5,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
5,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
6,60,scene_blue_video_60.gif,1,blue,might,2,blue_might_m,1
6,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
6,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
6,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
6,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
6,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
6,90,scene_blue_video_90.gif,1,blue,probably,2,blue_probably_m,1
6,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
6,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
6,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
6,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
6,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
6,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
6,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
6,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
6,40,scene_orange_video_40.gif,1,orange,might,2,orange_might_m,1
6,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
6,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
6,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
6,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
6,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
6,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
6,100,scene_blue_video_100.gif,1,blue,bare,2,blue_bare_m,1
6,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
6,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
7,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
7,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
7,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
7,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
7,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
7,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
7,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
7,40,scene_orange_video_40.gif,1,orange,might,2,orange_might_m,1
7,60,scene_blue_video_60.gif,1,blue,might,1,blue_might_m,1
7,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
7,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
7,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
7,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
7,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
7,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
7,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
7,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
7,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
7,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
7,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
7,90,scene_blue_video_90.gif,1,blue,probably,2,blue_probably_m,1
7,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
7,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
7,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
7,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
8,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
8,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
8,40,scene_orange_video_40.gif,1,orange,might,2,orange_might_m,1
8,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
8,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
8,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
8,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
8,0,scene_orange_video_0.gif,0,orange,bare,1,orange_bare_m,1
8,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
8,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
8,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
8,60,scene_blue_video_60.gif,1,blue,might,2,blue_might_m,1
8,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
8,90,scene_blue_video_90.gif,0,blue,probably,1,blue_probably_m,1
8,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
8,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
8,10,scene_orange_video_10.gif,0,orange,probably,2,orange_probably_m,1
8,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
8,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
8,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
8,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
8,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
8,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
8,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
8,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
9,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
9,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
9,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
9,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
9,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
9,100,scene_blue_video_100.gif,1,blue,bare,2,blue_bare_m,1
9,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
9,90,scene_blue_video_90.gif,1,blue,probably,2,blue_probably_m,1
9,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
9,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
9,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
9,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
9,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
9,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
9,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
9,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
9,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
9,40,scene_orange_video_40.gif,1,orange,might,2,orange_might_m,1
9,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
9,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
9,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
9,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
9,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
9,0,scene_orange_video_0.gif,1,orange,bare,1,orange_bare_m,1
9,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
10,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
10,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
10,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
10,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
10,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
10,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
10,90,scene_blue_video_90.gif,1,blue,probably,2,blue_probably_m,1
10,60,scene_blue_video_60.gif,1,blue,might,1,blue_might_m,1
10,60,scene_blue_video_60.gif,1,blue,might,2,blue_might_m,1
10,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
10,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
10,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
10,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
10,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
10,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
10,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
10,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
10,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
10,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
10,60,scene_blue_video_60.gif,1,blue,might,2,blue_might_m,1
10,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
10,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
10,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
10,0,scene_orange_video_0.gif,1,orange,bare,2,orange_bare_m,1
10,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
11,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
11,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
11,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
11,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
11,60,scene_blue_video_60.gif,0,blue,might,1,blue_might_m,1
11,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
11,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
11,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
11,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
11,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
11,60,scene_blue_video_60.gif,1,blue,might,2,blue_might_m,1
11,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
11,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
11,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
11,40,scene_orange_video_40.gif,1,orange,might,2,orange_might_m,1
11,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
11,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
11,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
11,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
11,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
11,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
11,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
11,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
11,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
11,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
12,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
12,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
12,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
12,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
12,90,scene_blue_video_90.gif,1,blue,probably,2,blue_probably_m,1
12,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
12,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
12,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
12,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
12,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
12,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
12,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
12,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
12,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
12,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
12,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
12,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
12,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
12,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
12,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
12,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
12,60,scene_blue_video_60.gif,1,blue,might,1,blue_might_m,1
12,0,scene_orange_video_0.gif,1,orange,bare,1,orange_bare_m,1
12,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
12,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
13,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
13,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
13,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
13,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
13,0,scene_orange_video_0.gif,1,orange,bare,2,orange_bare_m,1
13,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
13,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
13,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
13,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
13,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
13,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
13,10,scene_orange_video_10.gif,1,orange,probably,2,orange_probably_m,1
13,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
13,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
13,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
13,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
13,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
13,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
13,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
13,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
13,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
13,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
13,60,scene_blue_video_60.gif,1,blue,might,2,blue_might_m,1
13,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
13,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
14,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
14,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
14,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
14,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
14,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
14,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
14,100,scene_blue_video_100.gif,-1,blue,bare,,blue_bare_m,0
14,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
14,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
14,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
14,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
14,90,scene_blue_video_90.gif,1,blue,probably,1,blue_probably_m,1
14,0,scene_orange_video_0.gif,1,orange,bare,2,orange_bare_m,1
14,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
14,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
14,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
14,90,scene_blue_video_90.gif,1,blue,probably,2,blue_probably_m,1
14,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
14,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
14,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
14,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
14,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
14,60,scene_blue_video_60.gif,-1,blue,might,,blue_might_m,0
14,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
14,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
15,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
15,40,scene_orange_video_40.gif,1,orange,might,1,orange_might_m,1
15,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
15,40,scene_orange_video_40.gif,-1,orange,might,,orange_might_m,0
15,10,scene_orange_video_10.gif,-1,orange,probably,,orange_probably_m,0
15,0,scene_orange_video_0.gif,-1,orange,bare,,orange_bare_m,0
15,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
15,90,scene_blue_video_90.gif,-1,blue,probably,,blue_probably_m,0
15,10,scene_orange_video_10.gif,1,orange,probably,1,orange_probably_m,1
