Item_ID	Sentence	Expression
10120:8	we might actually get *-1 to go to a world series, huh.	might
10281:17	i've had him probably five years.	probably
10370:11	he's probably been through all kinds of nightmares.	probably
10468:30	and you go crazy *-1 thinking 0 it might be yours.	might
10531:23	and he said 0 he was probably weaned *-1 *-4 too young, which he was *t*-2, because his mom was killed *-3,	probably
10699:8	oh definitely.	definitely
10861:23	it, it might have one best picture, too.	might
10928:48	wel-, because that's the way 0 they, they might seem *t*-1 outwardly,	might
10943:90	and, and, and you need *-1 to, to work with it, uh, you know, certainly on, on a daily basis but then ag-, then again work with it toward a good end. not, not toward * winning in las vegas, for example.	certainly
10994:16	i mean he certainly didn't,	certainly
11344:13	you might, you don't have *-1 to pay them a lot.	might
11359:5	maybe there's two for aluminum.	maybe
11385:12	so, it probably is a hassle.	probably
11793:29	i mean, while it *exp*-1's certainly the case that things like automobiles and factories, uh, pollute a lot, uh, if you look at how much pollution *t*-2 is say kicked *-3 up by an active volcano, uh, it *exp*-4's certainly less than clear that anything 0 man can do *t*-5 in this sort of scale of things has much effect at all.	certainly
11793:145	i mean, while it *exp*-1's certainly the case that things like automobiles and factories, uh, pollute a lot, uh, if you look at how much pollution *t*-2 is say kicked *-3 up by an active volcano, uh, it *exp*-4's certainly less than clear that anything 0 man can do *t*-5 in this sort of scale of things has much effect at all.	certainly
11798:15	i think 0 probably the greatest cause is, uh, vehicles, especially around cities.	probably
11806:10	but i certainly work near a city.	certainly
11835:36	and, uh, i've noticed over the past say, maybe five or six years, uh,	maybe
12086:5	maybe you, you could probably devise them so it slowly closed off your tail pipe	maybe
12086:29	maybe you, you could probably devise them so it slowly closed off your tail pipe	probably
12097:10	so you probably would have *-1 to build it right into the muffler or something.	probably
12150:13	well you might, uh, generate some yeah, you might generate some interest in it.	might
12150:41	well you might, uh, generate some yeah, you might generate some interest in it.	might
12365:11	i'd certainly, uh,	certainly
12392:125	but i, i would imagine that because of the, how close the, the vote was *t*-1 i'm, uh, i mean * almost certainly would have *-2 to be *?*.	certainly
12442:46	well, had, had we done a frontal assault it probably would have worked more to his favor.	probably
12492:11	i'd certainly, uh, support israel in, in their, their policy that in * defending themselves and in, uh, in their handling of their foreign policy,	certainly
12566:25	i guess, uh, well 0 maybe the computer will pair us up together another time.	maybe
12962:15	i guess 0 probably my favorite all time country and western song or singer is, uh, probably eddy arnold.	probably
12962:50	i guess 0 probably my favorite all time country and western song or singer is, uh, probably eddy arnold.	probably
13194:15	i think 0 probably as soon as they finished high school it would be ideal, because a lot of times, i-, if they go straight into college i think 0 they're going in too quick	probably
13325:42	*-1 being a professional and, of course, you probably belong to one or more professional organizations,	probably
13435:29	and i'm just assuming 0 it's probably a salesman that *t*-1 called during the day	probably
13437:13	and they'll probably call me up and, you know, call me back and bother me when i sit down to dinner later on *t*-1,	probably
13473:8	i might get an important phone call,	might
13546:16	well, yours is probably the same as ours.	probably
13605:31	oh, dana, i think 0 we have probably conversed long enough.	probably
13710:81	* to be, you know, * not to be crass about it, but, uh, uh, whether one might conceive, no pun intended, of the possibility that there might be a kind of a deliberate, uh, uh a professional mother, a-, person. for instance, that,	might
13710:116	* to be, you know, * not to be crass about it, but, uh, uh, whether one might conceive, no pun intended, of the possibility that there might be a kind of a deliberate, uh, uh a professional mother, a-, person. for instance, that,	might
13759:187	uh, i know that there are young people, characterized *, i guess as * being half my age, so that by definition that means, 0 they're young. uh, that, in my work place, who *t*-3 are both of them earning rather decent professional salaries who probably *-4 would consider *-5 paying a woman, uh, eight or nine or ten thousand dollars a year *-1 to take care of their child,	probably
13789:13	and then you might have more control over, uh, the, the morals that they would be taught *-1 *t*-2 rather than in like a classroom or a day care center.	might
13854:12	uh, and maybe that's a change 0 we'll see *t*-1.	maybe
13999:36	and, uh, hopefully, we'll have other good topic maybe another call someday,	maybe
14061:67	and * a-, as expensive as they are *?* 0 * to produce *t*-1, they certainly don't want any dead airspace.	certainly
14071:47	i, wo-, i, we're certainly in agreement there.	certainly
14076:21	they're, maybe they're a little more efficient, or have more 0 * to do *t*-1 over that same time frame.	maybe
14088:20	but i don't anymore, maybe once or twice a year.	maybe
14166:87	i wondered if it would help 0 you sometimes fill in the gaps or recognize discrepancies that other people, people like myself might not pick up on *t*-1.	might
14168:50	well, i, i think, uh, 0 my background is probably what *t*-1 absolutely turned me off with sixty minutes.	probably
14194:16	and there's maybe a page of that, little brief paragraphs, unless that was one of their, the focus of their main stories.	maybe
14255:5	maybe our phone company out here will get around to, *-1 offering something like that.	maybe
14259:27	so, that is something 0 you might keep your eyes open for *t*-1,	might
14404:20	i think 0 the cowboys probably have a, a better team.	probably
14456:5	maybe i'll call you back after, after the recording is finished *-1.	maybe
14523:15	i guess 0 probably since about eighty-four, about eighty-five was when they started *-1 kind of going downhill really *t*-2,	probably
14575:7	so maybe this year mumblex.	maybe
14692:10	and that certainly is one reason why crime here has increased *t*-1.	certainly
14704:65	i mean, the thing is is that, you know, it's like you might be standing somewhere, right,	might
14774:24	of course, i mean i might be, you know, the the leading drug dealer here,	might
14815:4	might.	might
15040:7	and maybe we'll get *-1 to talk again.	maybe
15070:11	it's definitely up to the person, uh,	definitely
15122:46	or, so you're looking at the peace corps or sabbatical maybe,	maybe
15140:13	i couldn't possibly commit a year or two of my life *-1 to, to go *-2 do something.	possibly
15161:11	i'd probably catch a terrible disease and die.	probably
15172:16	i think that maybe that's why some people do it *t*-1 is, uh, * to see the other cultures or, you know and some of that.	maybe
15212:30	and the peace corps or something like that is probably useful as, as that kind of a time.	probably
15215:5	maybe a little bit in that perspective,	maybe
15225:11	i'd probably have a different perspective if i actually knew someone that *t*-1 had gone into the peace corps.	probably
15257:8	i certainly didn't mark off anything *-1 to get this one.	certainly
15275:11	oh, probably five or six.	probably
15281:20	oh, i've done maybe four or five.	maybe
15382:13	and you've probably never gardened in your life mumblex.	probably
15514:50	and they should have taken them out and rolled them in the dirt a little more probably * to age, to age the material	probably
15664:12	so, it might not be as,	might
15774:21	i think 0 that's probably true, too.	probably
15795:20	i think that probably, i think 0 most companies now, as far as entry, you know, exams require that.	probably
15941:29	well, well i'm definitely for it.	definitely
15980:132	so i think 0 some place, you know, places like that, it should be like mandatory like, you know, on, on a, on a greater frequency than maybe, just, you know, paper pushers like, like i am *?*.	maybe
16095:5	maybe a recipe,	maybe
16102:9	maybe, maybe we're all set.	maybe
16102:17	maybe, maybe we're all set.	maybe
16154:10	oh, definitely.	definitely
16213:12	you probably get this, probably pretty sticky after you get done.	probably
16213:36	you probably get this, probably pretty sticky after you get done.	probably
16298:42	i mean, no matter how careful you are *t*-1 you still might get a film on the bottom of the pot.	might
16343:24	when it thickens *t*-1 the cornstarch might get a little, i don't know,	might
16352:21	you'd have *-1 to probably almost go out	probably
16435:11	it would probably be a lot more work and probably not turn out as good.	probably
16435:31	it would probably be a lot more work and probably not turn out as good.	probably
16486:10	and i might put it back on.	might
16493:59	after, well when it starts *-1 steaming a lot *t*-2, uh, i definitely, yeah, put it in the refrigerator,	definitely
16853:11	that'd probably be pretty interesting.	probably
16911:13	but there's probably something else that *t*-1 might make you *?*.	probably
16911:31	but there's probably something else that *t*-1 might make you *?*.	might
16917:32	but, uh, they, they might weed you out some other way.	might
17638:46	i get into that for, for a little while and maybe go out, uh, on a consistent basis every couple of days and ride a bike for awhile,	maybe
17639:40	but then i'll get tired of *-1 doing that, and maybe start *-1 jogging again and go out about three or four nights a week.	maybe
17977:13	well, they certainly are living off our ex-, at our expense.	certainly
18215:31	and i, i certainly, i, i grew up in a smaller town in texas,	certainly
18242:16	well, we're probably fixing *-1 to run out of time pretty, soon,	probably
18344:45	we've, we've got mayb-, maybe eight to eight inches to a foot of soil,	maybe
18834:12	uh, maybe you'll play around some and figure out how they can help you do different things *t*-1.	maybe
19309:5	maybe they're finally waking up and saying, you know, we can't afford this.	maybe
19334:52	and, you know, i even had a thought *ich*-2 once that the whole iraqi thing might have been just a, a deal *-1 to go ahead and let us, uh, you know, expend some, some military hardware.	might
19387:38	mumblex personally i don't see as gorbachev as *-1 being maybe a threat,	maybe
19437:38	it *exp*-2's easy * to believe that they were probably more *ich*-4 forced *-3 into a pact than, uh, a volunteer or willingness * to join.	probably
19473:7	and maybe, you know, more and more people are seeing, oh, countries hopefully are seeing that that buffer isn't going *-1 to help you,	maybe
19496:11	that's probably very true.	probably
19773:8	they might as well have not even been there.	might
19856:16	and then i had probably lived the last eleven years in massachusetts	probably
19966:68	see, i had never really been into science fiction that much until, uh, somebody gave me mist of avalon probably about five or six years ago.	probably
19997:25	and, i think 0 that's probably my favorite of, of any piece of science fiction that i've ever read *t*-1.	probably
20027:44	*-2 even having read the book, and i've read that book probably three times, *-2 watching that movie, i couldn't figure out, what they were talking about *t*-1, at all.	probably
20257:16	um, we're probably one of the, the only countries in the world that *t*-1 has all the things that we have *t*-2.	probably
20350:15	i thought 0 maybe you had come from somewhere else and had some experience with taxes there.	maybe
20471:13	so that will definitely help in taxes and what you will get *t*-1 back.	definitely
20542:39	that's what we're looking at *t*-1, fifteen or maybe twenty.	maybe
21121:8	this might age me, date me here,	might
21128:21	well, see, you're probably about the same age as me because my mom watched the secret storm, and the edge of night.	probably
21302:33	i think 0 it adds a, probably adds a little bit of depth to his character.	probably
21413:7	and maybe that's what the public wants *t*-1,	maybe
21452:5	maybe it's not a good example.	maybe
21511:16	unfortunately, that's probably true.	probably
21903:18	i mean, you might have problems,	might
21984:53	i mean, it's like, if you plan a year ahead, you can probably save up seven hundred dollars you know, one thousand four hundred dollars * to send your child to college, you know.	probably
22048:8	well maybe something will open up for you.	maybe
22194:84	and it seems that * the younger 0 you can get them and get them involved *-1 with programs after school *-3 *t*-2, you might keep them	might
22226:8	they might have five hundred troubled youths.	might
22274:10	the parents might be thirty years old	might
22329:10	the parents might have hostilities towards them, you know, like you're judging us,	might
22349:10	and i might see it on a, you know, a sixty minutes special.	might
22405:8	someone might grab you, mess around with you,	might
22479:109	so, i have not done, uh, much freshwater fishing oh, for, you know, lake, lake fishing for bass and so forth but, uh, maybe some what they call *t*-1 brim and those sorts of things, but nothing,	maybe
22645:10	just hoping maybe, 0 he could pull.	maybe
22692:21	so, we thought well, maybe there are some crab in here,	maybe
22756:43	i guess 0 the largest one 0 i ever caught *t*-1 was probably eight or ten inches long,	probably
22782:53	and the first thing 0 i caught *t*-1 was a sand shark, which *t*-2 was probably a foot, and a half or, uh, two feet long,	probably
22835:29	but, um, we kind of thought that maybe they just wanted *-1 to give him some medication * to sort of, you know keep him real out of it all the time	maybe
23081:8	that might be kind of tough, huh.	might
23136:20	so i figured 0 i might get me one of those because we don't always read the newspaper.	might
23216:61	but, you know, for other kind of cans, just to, it'd probably only take aluminum cans like that, don't they.	probably
23230:11	you could probably just, you know,	probably
23264:24	i'm sure 0 they're probably doing that here some.	probably
23320:11	it's probably sitting out on the barge somewhere.	probably
23467:79	well, i think, i think 0 basically we're in a lot of agreement, uh, in that i certainly agree that for any case involving serious injury to another person then maybe that needs, uh, some kind of legal definition.	certainly
23467:118	well, i think, i think 0 basically we're in a lot of agreement, uh, in that i certainly agree that for any case involving serious injury to another person then maybe that needs, uh, some kind of legal definition.	maybe
23471:32	but for anything involving that, trial by jury certainly should be mandatory.	certainly
23477:5	maybe there ought *-1 to be some kind of, of, uh, mumblex	maybe
23483:7	and maybe instead of, of, uh, * just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit *-1 to spend a week,	maybe
23483:98	and maybe instead of, of, uh, * just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit *-1 to spend a week,	maybe
23523:43	and although we supporting a whole segment of society called * lawyers, maybe we don't need *-1 to do that.	maybe
23530:15	you know, maybe, instead of * being so quick *-1 to sue you, uh, if you have a disagreement with someone, instead of * tying up court and time and that kind of stuff, maybe you nee-, maybe you,	maybe
23530:125	you know, maybe, instead of * being so quick *-1 to sue you, uh, if you have a disagreement with someone, instead of * tying up court and time and that kind of stuff, maybe you nee-, maybe you,	maybe
23530:149	you know, maybe, instead of * being so quick *-1 to sue you, uh, if you have a disagreement with someone, instead of * tying up court and time and that kind of stuff, maybe you nee-, maybe you,	maybe
23801:10	your parents might remember if they were here then.	might
24005:82	but if you're serving another dish with it, * say the rice dish um, well, with guys pretty healthy appetites, i'd probably go a third of a pound	probably
24012:11	i could probably go half a pound.	probably
24049:21	i thought 0 it was maybe like, you know, like five fifty or something.	maybe
24218:11	that's probably very useful.	probably
24252:17	maybe, maybe * being a tenured professor would be one thing,	maybe
24281:20	probably, you probably got everybody on you, because they were probably all going to law school.	probably
24281:50	probably, you probably got everybody on you, because they were probably all going to law school.	probably
24338:53	it's i, i think 0 it's probably more embarrassing and very painful.	probably
24379:32	and i, i think 0 probably the biggest.	probably
24421:30	i, i thought 0 maybe you might have had some experience with the, uh, r c one thirty-fives.	maybe
24421:36	i, i thought 0 maybe you might have had some experience with the, uh, r c one thirty-fives.	might
24517:8	i definitely think 0 they should be tested *-1.	definitely
24519:30	i mean because i know 0 i certainly wouldn't want *-1 to, to, uh, you know, be endangered *-2 by somebody in a company that *t*-3 accidentally dropped something on me or, or you know, because he was on drugs while he was there.	certainly
24549:14	and that's probably my question is, how, how do you know 0 it's done *-1 fairly *t*-2.	probably
24558:13	well, they might tell you 0 it's random.	might
24596:20	but i think 0 that might be a violation of someone's rights.	might
24641:99	well, does your r-, does your job require you to drive company equipment or to ap-, operate any type of machinery that *t*-1 might endanger someone?	might
24883:21	and, or maybe they're unemployed	maybe
24916:8	that might not turn around in the next, you know, fifteen, twenty years.	might
24919:10	maybe the, maybe they'll bring their good schools with them. you know,	maybe
24919:21	maybe the, maybe they'll bring their good schools with them. you know,	maybe
24929:51	they're, they're, you're most likely *-1 to do better in school.	likely
24991:5	maybe we do, we need some more catholic schools,	maybe
25092:11	it's probably not as accurate,	probably
25093:5	probably, you know, * intellectually doesn't,	probably
25140:16	but a large percentage probably over half of the rest of the population they don't have any college probably much at all	probably
25140:56	but a large percentage probably over half of the rest of the population they don't have any college probably much at all	probably
25144:101	and if we can't take it and use it easily, well, how can you put that on, like, elderly people and you know, just people that *t*-1 maybe just aren't blessed with as, as much sharpness and ment-, mental acuity *t*-2,	maybe
25336:8	that probably is a little bit under what it is *t*-1 for this time of year.	probably
25343:13	but you're probably right.	probably
25347:51	well, i like it when it's sort of a medium temperature, uh, maybe seventy-five to eighty, somewhere in there *t*-1.	maybe
25360:11	you're probably right.	probably
25398:28	it, uh, it probably was a lot warmer up high.	probably
25507:31	and, uh, i think 0 that's probably going *-1 to be one of the next investments, is * get her, get her a set of clubs	probably
25551:48	i guess, 0 the first time 0 i played golf *t*-1 has been probably about eight or ten years ago now, when i was in college *t*-2.	probably
25562:38	um, well, * have, have probably like, like a thursday night bachelor party and a friday golf day before the wedding.	probably
25690:115	but, uh, i'd like *-1 to, uh, eventually i'd like *-2 to work up, if, if my wife does get interested, and maybe get involved in a league in a, in a mixed, mixed doubles league, or something like that.	maybe
25752:20	but, she'll definitely, uh, she'll make the trip for fishing if that comes along,	definitely
26082:25	oh, my husband says 0 i might buy it,	might
26161:10	or you probably have something similar.	probably
26279:8	they might be *?*,	might
26301:8	i probably won't finish it until the end of the year	probably
26379:67	but even though i love the car 0 i've got *t*-1 now, i think 0 my next car will probably be american again because if i can at all do it, i'd like *-2 to stay american,	probably
26443:31	and i would, i probably, if i had thought 0 i, uh, wanted *-1 to pay the amount of money, i probably would have gone with, uh, uh, an accord or even a, a civic, or something comparable from nissan or toyota,	probably
26443:99	and i would, i probably, if i had thought 0 i, uh, wanted *-1 to pay the amount of money, i probably would have gone with, uh, uh, an accord or even a, a civic, or something comparable from nissan or toyota,	probably
26477:25	and i, i probably in another six months to a year or something will probably start *-1 looking around again,	probably
26477:53	and i, i probably in another six months to a year or something will probably start *-1 looking around again,	probably
26488:37	but, uh, i don't have any plans *ich*-1 for probably another two, three years of *-2 even looking, you know.	probably
26536:16	that doesn't seem likely.	likely
26616:18	i think that it probably would be a, a good program.	probably
26617:15	i think 0 probably two years is too long.	probably
26621:15	i think 0 maybe a year would be, the longest.	maybe
26627:23	you're prob-, probably right,	probably
26628:10	two years might be a little too long.	might
26650:7	or maybe * offer them, you know, some sort of an incentive * to do it. uh, you know college credit, you know, something, you know,	maybe
