Item_ID	Sentence	Expression	Context
52629:11	there would probably be very few exceptions to that	probably	###but we're still, you know, we're still accountable to it.###we don't need *-1 to back talk,###but, you know, it's like god changes your heart * to not do that.###he changes your heart * not to look upon a woman in lust.###because in the old testament, they could look all 0 they wanted *t*-1, just couldn't do it.###but in the new, he's looking at your heart###and so, i guess 0 that's what, what i mean *t*-1 by their character changes###and, you know, what i mean *t*-2, it's like * looking beyond what they're doing *t*-3 and looking at a heart and seeing what is the heart *t*-1, what's the character showing me *t*-4 here.### and, those, and then any of,### if i don't think see, if i don't believe that there's not a character change and the authorities agree, that this person needs *-1 to be excused *-2, i believe 0 for murder, uh, rape, i even believe *ich*-3 incest, things, that *t*-4 will permanently damage, uh, the character of the child.###speakerb48.###uh-huh.###speakera49.###i believe 0 crimes against children *ich*-2 should be punished *-1 bu-, by, by death. i believe, sexual crimes, unless there's a true change of character.###speakerb50.###i tend *-1 to agree on that, very strongly.###speakera51.###and that's where we just have *-1 to, to trust the authorities *t*-2.###and they're not going *-1 to excuse people, if it was, was run *-2 like that,###i don't,
52723:18	i feel like that might be better, if it was run *-1 on a more scriptural basis, which *t*-2 would include, you know, you know, and * expediting the penalties and just getting it over with.	might	###and, you'd see the same kid who *t*-1 were back out there in two days.###speakerb78.###that's sad.###speakera79.###because, there's no, the answer is not being given *-1 to them, in the court system###and i think 0 initially, when our country was set *-1 up *t*-2, it was set *-3 up with god###and it was really an integral part,###and no,### you can't, you can't force people,###but i think 0 people are hurting###and they're out *-1 doing crack *-2 sitting on the street.###they were the kind of people that, i think mostly, we would want *t*-1 to receive it. if it *ich*-3 was presented *-1 0 * to see *t*-2.###i don't know,###i guess, 0 i'm kind of frustrated that, you know, we've gotten away from the christian basis that our court system was founded *-1 upon *t*-2.###i mean, it reeks of the bible, just, the whole thing, the whole system.###and, so i feel like if that was presented *-1 more openly, and not just * relying upon, and para-church ministry *-2 to come in and do it, that, that the system itself,### you know, you know what i mean *t*-1.###speakerb80.###yeah.###speakera81.
52766:30	uh, we try *-1 to go once, maybe twice a summer. uh, we, uh, just, you know, for like a short weekend or something.	maybe	###yeah,###i know,###you're right,###they would lobby that### and, and i see that,###and that's why, you know, i'm like, okay, what's my role in this thing *t*-1,, you know, what's my part *t*-2 *t*-3,###speakerb96.###yeah.###speakera97.###because i don't think 0 the system is going *-1 to get fixed *-2.###i think 0 it's crippled...###speakera1.###okay.###do you go *-1 camping very much?###speakerb2.###no,###i've haven't gone *-1 camping in years.###but it's is something that i've done *t*-1 in the past.###how about you?###speakera3.
53385:73	oh, um, uh, i usually don't get *-1 to hea-, hear any of the current events probably until about the ten o'clock news.	probably	###speakera243.### you, me too.###speakerb244.###you have a good time *-1 camping,###when you go next time *t*-1, * think of me.###speakera245.###thanks.###speakerb246.###speakera247.###okay.###* thank you.###speakerb248.###all right.###speakera249.###bye-bye.###speakerb250.###bye-bye.###speakera1.###* go ahead.###speakerb2.
53507:15	i mean, probably * would have paid the same amount	probably	### but, uh, you know, but we need good schools.###uh, we're more involved in that now.###and, i, i, i, i think 0 it's better for everybody if we had better schools.###speakera45.###yeah,###that's true.###speakerb46.###so,###speakera47.###i would think 0 they could find a better way 0 * to fund it *t*-1 though,###but they haven't for,###speakerb48.###no.###you know, i wish 0 they could have gotten a lottery.###speakera49.###well, they're struggling with it.###speakerb50.###yeah.###i think 0, you know, the lottery could have helped, with that.###i mean, it wouldn't have been as painful as what we would've paid *t*-1 in state income tax.
53547:24	i mean, because that would definitely look like another korea,	definitely	###speakerb58.###yes,### that's, that's sad.###speakera59.###speakerb60.###yeah.### they, uh, yeah, they had *-1 to choose between the better of the two, two bad situations,###and, uh, i don't know what i've would have done *t*-1 in the situation.###speakera61.###uh-huh.###speakerb62.###speakera63.###yeah,###it begins *-1 to make you wonder why we didn't go ahead and go on in and, finish the job while we were in there *t*-2.###speakerb64.###yeah.###speakera65.###speakerb66.###right.###but i understand why bush, you know, doesn't want *-1 to go in and, and uh, take sides *t*-2.
53738:34	i mean, that's, that might be the only thing.	might	###each individual child.###speakerb12.###some kids are going *-1 to be great with mechanical stuff.###other kids are going *-1 to be really into math,###some are really going *-1 to be heavy into reading.###speakera13.###right.###speakerb14.###instead of * pushing the scales too far either direction, i mean it *exp*-1's great * to be well rounded and hav-, be exposed *-2 to all this stuff.###speakera15.###yeah.###that's,###speakerb16.###but why * not hit the points 0 the kid's really interested in *t*-1 *t*-2?###because if he's interested, he's going *-1 to study it,###and he's going *-1 to learn it,###and he's going *-1 to remember it.###speakera17.###that's true.### the only, i think 0 the only thing that they would argue *t*-1 about that, is that, you know, every child needs *-2 to learn every subject.
53739:37	but, i mean, i, i definitely agree with you.	definitely	###speakerb12.###some kids are going *-1 to be great with mechanical stuff.###other kids are going *-1 to be really into math,###some are really going *-1 to be heavy into reading.###speakera13.###right.###speakerb14.###instead of * pushing the scales too far either direction, i mean it *exp*-1's great * to be well rounded and hav-, be exposed *-2 to all this stuff.###speakera15.###yeah.###that's,###speakerb16.###but why * not hit the points 0 the kid's really interested in *t*-1 *t*-2?###because if he's interested, he's going *-1 to study it,###and he's going *-1 to learn it,###and he's going *-1 to remember it.###speakera17.###that's true.### the only, i think 0 the only thing that they would argue *t*-1 about that, is that, you know, every child needs *-2 to learn every subject.###i mean, that's, that might be the only thing.
53755:8	i definitely agree.	definitely	###speakera17.###that's true.### the only, i think 0 the only thing that they would argue *t*-1 about that, is that, you know, every child needs *-2 to learn every subject.###i mean, that's, that might be the only thing.###but, i mean, i, i definitely agree with you.###uh,###speakerb18.###they need exposure to every subject.###they don't need *-1 to be masters of it,###speakera19.###right,###right.###that's true.###uh,###speakerb20.###everything 0 i learned *t*-1 about ancient rome ha-, has not helped me anywhere in, my adult life.###speakera21.###speakerb22.###speakera23.###yes,
53808:46	i saw something on the news, oh, i don't know, maybe two weeks ago.	maybe	###oh, yes.###definitely,###i agree.###yeah,###there's,###speakerb34.###you know, i mean, if they really wanted *-1 to get to the meat of the matter, i mean, there's, they make all these people out *-2 to be, oh,###they were great men,###and they're the father of the country and all this.###he had just as much dirt *ich*-1 on him as anybody else.###speakera35.###speakerb36.###if not more.###the man was not a saint.###speakera37.###yeah.###that's true,###yeah.###any way, this, this, um, school system thing,### i, i tell you,
53830:8	i definitely agree with parents.	definitely	###i don't know where you're from *t*-1,###but i'm from the dallas area.###and they were talking about the plano school system, that, they had one school that, uh, if the students did something wrong, i mean, whether it was behavioral or, uh, you know, they weren't learning properly or something. they took these students and put them basically in a closet. with no windows *t*-1.###they had, a, a table, or not a table, but a desk in this closet,###and they had *-1 to sit in there by themselves.###well, parents were getting really angry about this, because they said, why is my child being put *-1 in this closet *t*-2.###well, how is that helping my child, you know *t*-1.###and, uh, the, the thing, you know,###they said, well, we're giving them isolation time###and this helps them to think.###but a lot of kids,###i mean, if a child has, uh, claustrophobia, i mean, that's just going *-1 to terrify him, you know###and,###speakerb38.### if, if the isolation concept really works that good, why are our prisons overcrowded *t*-1?###speakera39.###uh, that's true.###that's true.###but, no,###i mean, they were, uh, i mean,
53838:50	i mean, either way. you know, i, i definitely had *-1 to disagree with that.	definitely	###they said, well, we're giving them isolation time###and this helps them to think.###but a lot of kids,###i mean, if a child has, uh, claustrophobia, i mean, that's just going *-1 to terrify him, you know###and,###speakerb38.### if, if the isolation concept really works that good, why are our prisons overcrowded *t*-1?###speakera39.###uh, that's true.###that's true.###but, no,###i mean, they were, uh, i mean,###i definitely agree with parents.###i think 0 that is a very wrong way 0 * to handle, uh, *-1 disciplining a child *t*-2.###* putting them in, i mean, they were, they were call-, they called them *ich*-1 their quiet rooms or their isolation rooms.###they didn't call them closets.###but they showed these rooms on, uh, you know, on the news###and, i mean, they looked like a closet *ich*-1 *ich*-2 to me. you know, with a desk in it, a real small.###but they said that one of the solutions 0 they came up with *t*-1 was *-2 to take the doors off of these isolation rooms.###i said, now what good does thi-, i mean, how is this helping *t*-1?
53899:15	so, they're definitely going *-1 to work towards *-2 being good, you know, rather than trying *-3 to act up and be bad, you know.	definitely	###speakera55.###yeah,###that's true.###speakerb56.###but you cut, you know,### the, the kid's having *-1 to give up his, quote, play time *-2 to pay his debt for what he did *t*-3 wrong.###speakera57.###well,###speakerb58.###but he's seeing something constructive come out of it.###speakera59.###um, i have *-1 to,###i think 0 one of the positive things, i mean, one of the things that *t*-1 can come out of, uh, is not just di-, discipline, okay?###but, okay,###for instance, one of the things 0 they do *t*-1 at, uh, my kids school, uh, they have what they call *t*-2, uh, * caught *-3 being good slips.###and when the kids are in halls and stuff *t*-1, and if they're being really good, i mean, just being excellent, they're not, you know, cutting up and so on. they're just standing in line, doing whatever they are supposed *-2 to *?* *t*-3, they get one of these * caught *-4 being good slips.###and then, when they collect them at the end of each week *t*-1, they get *-2 to go to this little, what they call *t*-3 their * caught *-4 being good store,###and then they get *-1 to spend these like money.###well, see, to me, that's positive reinforcement, is much better, much better than * trying *-1 to find ways 0 *-2 to discipline kids *t*-3, because they're going *-4 to be good and try and earn those things, you know, *-5 to get the positive part of it.###i mean, they'd ra-, much rather *ich*-2 go in the store and buy something than * be spanked *-1.
53909:22	, i mean, my kids definitely get spanked *-1 when they need they need *-2 to be spanked *-3 *t*-4.	definitely	###speakera59.###um, i have *-1 to,###i think 0 one of the positive things, i mean, one of the things that *t*-1 can come out of, uh, is not just di-, discipline, okay?###but, okay,###for instance, one of the things 0 they do *t*-1 at, uh, my kids school, uh, they have what they call *t*-2, uh, * caught *-3 being good slips.###and when the kids are in halls and stuff *t*-1, and if they're being really good, i mean, just being excellent, they're not, you know, cutting up and so on. they're just standing in line, doing whatever they are supposed *-2 to *?* *t*-3, they get one of these * caught *-4 being good slips.###and then, when they collect them at the end of each week *t*-1, they get *-2 to go to this little, what they call *t*-3 their * caught *-4 being good store,###and then they get *-1 to spend these like money.###well, see, to me, that's positive reinforcement, is much better, much better than * trying *-1 to find ways 0 *-2 to discipline kids *t*-3, because they're going *-4 to be good and try and earn those things, you know, *-5 to get the positive part of it.###i mean, they'd ra-, much rather *ich*-2 go in the store and buy something than * be spanked *-1.###so, they're definitely going *-1 to work towards *-2 being good, you know, rather than trying *-3 to act up and be bad, you know.###speakerb60.###i think 0 that not only applies inside the public school system, but in society itself.### we've been too long, there's been too much negative reinforcement.###how much, da-, like, the * caught *-1 being good slips.###how about, just the john q citizen out there on the street?###speakera61.###yeah,###well that's true.### i think, i think, 0 really though, i mean, that's one thing that
53979:18	it's more like maybe projects or something on the weekend.	maybe	###my spare time###speakerb8.###yeah.###speakera9.###i usually go *-1 do aerobics and read,###and that's, about it.###speakerb10.###yeah.###speakera11.###speakerb12.###yeah.###i understood that.### i'm, you know, i work full time###and i have two kids###so my spare time usually involves something with the kids.###speakera13.###yeah.###speakerb14.###you know, hobbies,### we, i, i can't really say that we have hobbies.
54139:27	but, but it's certainly something that *t*-1 has a lot of things 0 * to talk about *t*-2.	certainly	###well, * thank you.###speakera73.###okay.###i hope 0 you have a good rest of your weekend.###speakerb74.###thanks.###bye-bye.###speakera75.###okay.###bye-bye.###speakerb1.###well, this is a good subject, isn't it *?*?###speakera2.###yeah.###speakerb3.### it's, it's something that you can really talk about *t*-1.###speakera4.###yeah.###speakerb5.###um, i don't know what we're going *-1 to do *t*-2 about it,
54385:7	and maybe if the world could have given them some type of aid.	maybe	###speakera72.###they've got sixty or so of iraq's planes.###speakerb73.###yeah,###i know,###it's like they were using them as friends when we were having the conflict *t*-1###but, i, i, you know, i almost swear, 0 i'm kind of disappointed with the iranians,###why they didn't go *-1 save,###i mean, i don't know if the kurdish,###i know 0 the shiites are their people.###speakera74.###uh-huh.###speakerb75.###but, i don't know,###i think 0 they have a bond with the, the kurds.###speakera76.###there are some kurds living in iran.###speakerb77.###yeah,### i, i think 0 they should have just done more, uh,
54605:26	i thought 0 it was kind of maybe for kids more, than ad-,	maybe	###i know,###it *exp*-1's too bad that they've gotten so expensive.###speakera56.###ye-,###well one movie 0 we saw *t*-1 in the last couple of months that we really enjoyed *t*-2 was, uh, edward scissorhands.###speakerb57.###oh, really.###speakera58.###yeah,###have you seen that?###speakerb59.###no.###speakera60.###oh, it was great.###speakerb61.###really.###speakera62.###yeah###it was *?*,###speakerb63.
54625:46	well if you, if you liked beetlejuice you'll probably like edward scissorhands,	probably	###i thought 0 it was kind of maybe for kids more, than ad-,###speakera64.###no,###no,### it's, um, it's an odd film###and it *exp*-1's really interesting that,###i like the director *ich*-1 a lot, um, a guy named * tim burton.###speakerb65.###uh-huh.###speakera66.###did you ever see the movie beetlejuice?###speakerb67.###uh, part of it,### i, i never really watched the whole thing.###speakera68.###oh, ok-,###speakerb69.###speakera70.###oh, se-,###yeah,
54626:29	if you didn't like beetlejuice you'll probably won't like edward scissorhands.	probably	###speakera64.###no,###no,### it's, um, it's an odd film###and it *exp*-1's really interesting that,###i like the director *ich*-1 a lot, um, a guy named * tim burton.###speakerb65.###uh-huh.###speakera66.###did you ever see the movie beetlejuice?###speakerb67.###uh, part of it,### i, i never really watched the whole thing.###speakera68.###oh, ok-,###speakerb69.###speakera70.###oh, se-,###yeah,###well if you, if you liked beetlejuice you'll probably like edward scissorhands,
54718:23	i, i might have seen part of that because the name sounds familiar although i wo-, i would remember, i think 0 *t*-1 in, with him in it.	might	###um, * let's see.###danny glover, scott glen, kevin kline, um, brian dennehy,###jeff goldblum's in.###uh, john kreas is in it if you don't blink.###speakerb97.###that,###the nam-, the, the title sounds familiar,###i'm trying *-1 to thi-,###speakera98.### it was, it was a big western,###i mean, i think 0 roseanne arquett *ich*-2 was in it too, another one that if you blink you'd miss *t*-1 her.###uh, it was,###and i think 0 it was like a three hour movie or two and a half hours,### and, and it was one of those ones that *t*-1 could have been four hours if they hadn't cut a lot out.###speakerb99.###oh, really.###speakera100.###um, but it was, it was really good.###um,###speakerb101.
54787:16	um, you've probably seen him	probably	###no,###it was on one of the networks, i think 0 *t*-1 last weekend. uh, or two weeks ago.###speakerb117.###okay,###i know 0 i saw, yeah, something about it.###speakera118.###yeah,### i, um, i wish 0, i, i mean i'd seen it when, when, you know, it was originally in the theaters *t*-1###and, um, i saw it, you know, i saw part of it again.###speakerb119.###uh-huh.###speakera120.###i mean i like, you know, i like costner,###i like sean connery,###and, uh, there's this one, there's this one actor,###it *exp*-1's really silly that i enjoy him a lot###but i, i've really enjoyed him in everything 0 i've seen him in *t*-1, a guy named * charles martin smith.###speakerb121.###i don't know him.###speakera122.
54872:15	so, we're probably going *-1 to like rent those some time and then try *-2 to see godfather part three somewhere.	probably	###e-,###e-,###a review usually won't make me go *-1 see a movie 0 i hadn't already wanted *-2 to see *t*-3.###speakerb143.###yeah.###did you see goodfellas?###speakera144.###no,###it's o-, uh,###i want *-1 to see it.###speakerb145.### that wa-, that was pretty good.###um, and,###speakera146.###um, we want *-1 to see godfather part three also###but my, my girlfriend's seen part one and part two although she saw them years ago,###speakerb147.###uh-huh.###speakera148.###but i've never seen either of the first, you know, of the, of the godfather movies
54938:8	i probably saw parts of those.	probably	###or, uh,###speakera166.###i liked rainman,### i thought, i thought 0 it *ich*-1 was interesting that he was doing som-,###speakerb167.###oh, yeah,###that was good,###i liked rainman, too.###speakera168.###yeah,###well i'm,###*-1 being from baltimore, of course, i'm a big barry levinson fan since, uh, he, he's, you know, he's done a bunch of baltimore movies.###speakerb169.###uh-huh.###speakera170.###um, n-,###barry levinson did, um, diner and tinman, and avalon which *t*-1 are all set *-2 in baltimore.###speakerb171.###yeah,###they sound familiar.
54951:15	and then the titles might sound familiar	might	###uh-huh.###speakera170.###um, n-,###barry levinson did, um, diner and tinman, and avalon which *t*-1 are all set *-2 in baltimore.###speakerb171.###yeah,###they sound familiar.###i probably saw parts of those.###you know, a lot of times i'll wa-, i'll start *-1 watching a movie###and i'm tired###and it,###speakera172.###uh-huh.###speakerb173.###next thing 0 you know *t*-1, it's, it's###especially if there's commercial in it.###speakera174.###ye-,###we-,###speakerb175.
54955:28	of the three of those, diner's probably the best.	probably	###speakerb171.###yeah,###they sound familiar.###i probably saw parts of those.###you know, a lot of times i'll wa-, i'll start *-1 watching a movie###and i'm tired###and it,###speakera172.###uh-huh.###speakerb173.###next thing 0 you know *t*-1, it's, it's###especially if there's commercial in it.###speakera174.###ye-,###we-,###speakerb175.###and then the titles might sound familiar###but i really don't know what they're all about *t*-1.###speakera176.###ye-,
55017:20	and, uh, i was probably the only one in the room several times when we were watching football on t v *t*-1 when the cowboys were playing the saint louis cardinals *t*-2	probably	###but i always enjoyed *-1 watching them,###i just###* growing up in oklahoma, there it was always the home team, kind of like dallas is *?* around here.###speakerb10.###yeah,###yeah.###speakera11.###and there's always been an interest there.###speakerb12.###well, it's kind of same for me,###i grew up in southern new jersey###and the local team was philadelphia.###speakera13.###yeah.###speakerb14.###and they were like thirty miles right up the river###and i'm still pretty much an eagle fan, i guess 0 *t*-1.###speakera15.###i guess 0 you keep those things 0 you grew up with *t*-1.###i worked in, uh, missouri for a while
55026:69	and i think 0 that's quite a bit of optimism *ich*-1 around here that still there's a chance that maybe, uh, these guys are right, maybe they will come through and, and do something this year.	maybe	###well, it's kind of same for me,###i grew up in southern new jersey###and the local team was philadelphia.###speakera13.###yeah.###speakerb14.###and they were like thirty miles right up the river###and i'm still pretty much an eagle fan, i guess 0 *t*-1.###speakera15.###i guess 0 you keep those things 0 you grew up with *t*-1.###i worked in, uh, missouri for a while###and, uh, i was probably the only one in the room several times when we were watching football on t v *t*-1 when the cowboys were playing the saint louis cardinals *t*-2###and i was rooting for the cowboys.###speakerb16.###yeah.###speakera17.###but, they were kind of closer to home when, when i struck up with them *t*-1.###i really don't know what *t*-1's going *-2 to take place with the cowboys this year.###everybody keeps *-1 talking about the reconstruction 0 they're going through *t*-2 and new players and how next year is going *-3 to be even bigger and better than the previous year *t*-4.###in a way that happened this past season,
55026:93	and i think 0 that's quite a bit of optimism *ich*-1 around here that still there's a chance that maybe, uh, these guys are right, maybe they will come through and, and do something this year.	maybe	###well, it's kind of same for me,###i grew up in southern new jersey###and the local team was philadelphia.###speakera13.###yeah.###speakerb14.###and they were like thirty miles right up the river###and i'm still pretty much an eagle fan, i guess 0 *t*-1.###speakera15.###i guess 0 you keep those things 0 you grew up with *t*-1.###i worked in, uh, missouri for a while###and, uh, i was probably the only one in the room several times when we were watching football on t v *t*-1 when the cowboys were playing the saint louis cardinals *t*-2###and i was rooting for the cowboys.###speakerb16.###yeah.###speakera17.###but, they were kind of closer to home when, when i struck up with them *t*-1.###i really don't know what *t*-1's going *-2 to take place with the cowboys this year.###everybody keeps *-1 talking about the reconstruction 0 they're going through *t*-2 and new players and how next year is going *-3 to be even bigger and better than the previous year *t*-4.###in a way that happened this past season,
55035:15	and you know maybe the stuff that, uh, jerry jones is talking about *t*-1 the construction and * redefining the team and maybe the effort might be starting *-2 to pay off.	maybe	###i guess 0 you keep those things 0 you grew up with *t*-1.###i worked in, uh, missouri for a while###and, uh, i was probably the only one in the room several times when we were watching football on t v *t*-1 when the cowboys were playing the saint louis cardinals *t*-2###and i was rooting for the cowboys.###speakerb16.###yeah.###speakera17.###but, they were kind of closer to home when, when i struck up with them *t*-1.###i really don't know what *t*-1's going *-2 to take place with the cowboys this year.###everybody keeps *-1 talking about the reconstruction 0 they're going through *t*-2 and new players and how next year is going *-3 to be even bigger and better than the previous year *t*-4.###in a way that happened this past season,###and i think 0 that's quite a bit of optimism *ich*-1 around here that still there's a chance that maybe, uh, these guys are right, maybe they will come through and, and do something this year.###i look for it to be a pretty good year.###speakerb18.###boy they, uh, they sure did have a big turn around from a couple of years ago.###speakera19.###they did,###uh, they got rid *-1 of a lot of familiar names and got a lot of names *ich*-2 in that we weren't, weren't familiar with *t*-3.###some of them turned out *-1 to be pretty good players,###uh, some of them didn't
55035:75	and you know maybe the stuff that, uh, jerry jones is talking about *t*-1 the construction and * redefining the team and maybe the effort might be starting *-2 to pay off.	maybe	###i guess 0 you keep those things 0 you grew up with *t*-1.###i worked in, uh, missouri for a while###and, uh, i was probably the only one in the room several times when we were watching football on t v *t*-1 when the cowboys were playing the saint louis cardinals *t*-2###and i was rooting for the cowboys.###speakerb16.###yeah.###speakera17.###but, they were kind of closer to home when, when i struck up with them *t*-1.###i really don't know what *t*-1's going *-2 to take place with the cowboys this year.###everybody keeps *-1 talking about the reconstruction 0 they're going through *t*-2 and new players and how next year is going *-3 to be even bigger and better than the previous year *t*-4.###in a way that happened this past season,###and i think 0 that's quite a bit of optimism *ich*-1 around here that still there's a chance that maybe, uh, these guys are right, maybe they will come through and, and do something this year.###i look for it to be a pretty good year.###speakerb18.###boy they, uh, they sure did have a big turn around from a couple of years ago.###speakera19.###they did,###uh, they got rid *-1 of a lot of familiar names and got a lot of names *ich*-2 in that we weren't, weren't familiar with *t*-3.###some of them turned out *-1 to be pretty good players,###uh, some of them didn't
55035:83	and you know maybe the stuff that, uh, jerry jones is talking about *t*-1 the construction and * redefining the team and maybe the effort might be starting *-2 to pay off.	might	###i guess 0 you keep those things 0 you grew up with *t*-1.###i worked in, uh, missouri for a while###and, uh, i was probably the only one in the room several times when we were watching football on t v *t*-1 when the cowboys were playing the saint louis cardinals *t*-2###and i was rooting for the cowboys.###speakerb16.###yeah.###speakera17.###but, they were kind of closer to home when, when i struck up with them *t*-1.###i really don't know what *t*-1's going *-2 to take place with the cowboys this year.###everybody keeps *-1 talking about the reconstruction 0 they're going through *t*-2 and new players and how next year is going *-3 to be even bigger and better than the previous year *t*-4.###in a way that happened this past season,###and i think 0 that's quite a bit of optimism *ich*-1 around here that still there's a chance that maybe, uh, these guys are right, maybe they will come through and, and do something this year.###i look for it to be a pretty good year.###speakerb18.###boy they, uh, they sure did have a big turn around from a couple of years ago.###speakera19.###they did,###uh, they got rid *-1 of a lot of familiar names and got a lot of names *ich*-2 in that we weren't, weren't familiar with *t*-3.###some of them turned out *-1 to be pretty good players,###uh, some of them didn't
55095:11	he's probably like a lot of quarterbacks, uh,	probably	###well, that, that says a lot for the, for his ability, though i think 0 *t*-1.###for staubach's, i mean.###speakera33.###well, yeah.###speakerb34.###speakera35.###you know, he was one of the few who *t*-1 come through in history that *t*-2 can really perform,###uh, we hope,###every team hopes 0 their current quarterback is going *-1 to pull them through.###in a way aikman has done some of that.###but, uh, the guy winds up *-1 getting hurt *-2 every other game.###speakerb36.###yeah,### i, i tell you,###it's difficult in that guy's position * coming into that because there, he was just so highly touted *-1 by the press and everybody expected so many big things, you know.###speakera37.###yeah,###they did.###they put a lot of pressure on him from the outside and from the inside.###uh, it *exp*-1's funny * watching them, them play,
55115:21	i think 0 they will probably win one or two more games than they did this year,	probably	###he's probably like a lot of quarterbacks, uh,###when the pressure is really on *t*-1 when it's down to the last few minutes of the game for the season *t*-2 is when the guys seem *-3 to really do their best *t*-4.###speakerb38.###uh-huh.###speakera39.###and i haven't quite figured that out,###if they figure 0 they have got it won *-1 or if there's no real hurry because the first three quarters or, uh, if, uh, if something happens that that adrenalin starts *-2 flowing.###they say, hey, we got *-3 to do something now. and then start *-4 playing the game the way 0 the game should be played *-5 *t*-6 toward the last few minutes.###speakerb40.###yeah.###speakera41.###so, i don't know###i'm looking for a good year.###i guess 0 we're always looking for a good year.###speakerb42.###so, obviously though, do you think 0 they're going *-1 to do anything in the playoffs *-2 to make it to the super bowl this year###or who do you, who do you like *t*-1 to do that this year?###speakera43.###uh, no###i don't think 0 the cowboys have got a chance.
55117:11	they'll probably get everybody's hopes up and blow it toward the end.	probably	###speakerb38.###uh-huh.###speakera39.###and i haven't quite figured that out,###if they figure 0 they have got it won *-1 or if there's no real hurry because the first three quarters or, uh, if, uh, if something happens that that adrenalin starts *-2 flowing.###they say, hey, we got *-3 to do something now. and then start *-4 playing the game the way 0 the game should be played *-5 *t*-6 toward the last few minutes.###speakerb40.###yeah.###speakera41.###so, i don't know###i'm looking for a good year.###i guess 0 we're always looking for a good year.###speakerb42.###so, obviously though, do you think 0 they're going *-1 to do anything in the playoffs *-2 to make it to the super bowl this year###or who do you, who do you like *t*-1 to do that this year?###speakera43.###uh, no###i don't think 0 the cowboys have got a chance.###i think 0 they will probably win one or two more games than they did this year,###and they'll get close to it.
55123:44	uh, i'm figuring either one either the eagles or possibly san francisco	possibly	###speakerb40.###yeah.###speakera41.###so, i don't know###i'm looking for a good year.###i guess 0 we're always looking for a good year.###speakerb42.###so, obviously though, do you think 0 they're going *-1 to do anything in the playoffs *-2 to make it to the super bowl this year###or who do you, who do you like *t*-1 to do that this year?###speakera43.###uh, no###i don't think 0 the cowboys have got a chance.###i think 0 they will probably win one or two more games than they did this year,###and they'll get close to it.###they'll probably get everybody's hopes up and blow it toward the end.###speakerb44.###so who's *t*-1 going *-2 to beat them?###who are they going *-1 to blow it to *t*-2?###speakera45.###uh, that's a good question.
55289:11	there's probably five or six, which *t*-1 would be an equivalent of our joint chiefs of staffs, that *t*-2 are in positions over some of these soviet states.	probably	###speakerb14.###i'm surprised 0 during this iraqi crisis we didn't have more incidents than they did.###these guys are top of the line.### when they, when they graduate from there *t*-1, they can pull terrorist actions anywhere in the free world.###and they are very, very good at what they do *t*-1.###so until i see the entire, quote, old guard of the soviet military, of the soviet government completely roll over and disappear, *-1 preferably buried *-2, i still consider them a threat.###speakera15.###uh-huh.###speakerb16.###their military is different from ours, to where there are extremist gen-, generals that *t*-1 actually control tens and thousands of troops. that irregardless of what soviet policy is *t*-2, *t*-3 they're going *-4 to do what the general tells them *t*-5 *t*-6.###speakera17.###yeah.###i guess 0 that's what *t*-1 concerns me the most. is 0 they're, they're so unstable that somebody like that could make, uh, decisions that *t*-2 would jeopardize a lot of people.###speakerb18.###well, it *exp*-1's in-, interesting * watching the different soviet states, albania, lithuania, doing their little revolts down there.###speakera19.###uh-huh.###speakerb20.###each one of those sectors has got a soviet general over the troops that *t*-1 are there.###so far they haven't run into the real psychos yet.
55317:74	if the bombs don't get you, if the bullets don't get you, then, then the nerve gas definitely will get you.	definitely	###and they, would level entire areas.###okay,###you're from the dallas area, right?###speakera23.###uh-huh.###speakerb24.###okay,###you know, basically the size of, uh, the area around richardson?###speakera25.###yeah.###speakerb26.###you put five soviet hyundee helicopters in the air, they can level the entire area###and there won't be anything left * alive.###and they can do that in about four minutes.###speakera27.###huh.###speakerb28.###and they've got entire squadrons of those just standing by.###they used them in afghanistan, did re-, remarkably well considering the terrain 0 they were flying in *t*-1.###but on a highly populated area, like some of the soviet cities would be *?*, with the weaponry that *t*-1's attached *-2 on those things, there is no place 0 * to hide *t*-3.
55342:4	definitely.	definitely	###speakerb30.###were you,###have you,###i take it 0 you haven't spent any time in the military?###speakera31.###no,###i haven't *?*.###speakerb32.###as a civilian that *t*-1's never been attached *-2 to any form of the military, i know 0 a lot of this stuff that i was involved in *t*-1, never did make the newspapers.###speakera33.###uh-huh.###speakerb34.###but, during that same time frame, didn't you get some feeling, that, i mean, they're getting all these weapons and stuff?###didn't it *ich*-1 bug you a little bit why they kept *-2 coming up with all this stuff *t*-3?###speakera35.###you mean in the, in the most recent conflict?###speakerb36.###in any of them since eighty-one.###speakera37.###oh. yeah,
