"","catch_trial","image","video","modal","color","percentage_blue","show_cross","catch_trial_answer_correct","language","gender","age","misread_instructions","trial","subjectid","date"
"11",1,"scene_blue_video_90.gif","blue_probably_m","probably","blue",90,0,1,"German","m",28,0,10,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"12",0,"scene_orange_video_40.gif","orange_probably_f","probably","orange",40,-1,-1,"German","m",28,0,11,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"13",0,"scene_blue_video_25.gif","blue_might_f","might","blue",25,-1,-1,"German","m",28,0,12,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"14",0,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,-1,-1,"German","m",28,0,13,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"15",1,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,0,1,"German","m",28,0,14,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"16",1,"scene_blue_video_90.gif","blue_probably_m","probably","blue",90,1,1,"German","m",28,0,15,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"17",1,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,1,1,"German","m",28,0,16,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"18",1,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,1,1,"German","m",28,0,17,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"19",1,"scene_blue_video_60.gif","blue_might_m","might","blue",60,0,1,"German","m",28,0,18,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"20",0,"scene_blue_video_60.gif","blue_might_m","might","blue",60,-1,-1,"German","m",28,0,19,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"21",0,"scene_orange_video_10.gif","orange_probably_m","probably","orange",10,-1,-1,"German","m",28,0,20,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"22",0,"scene_blue_video_60.gif","blue_might_m","might","blue",60,-1,-1,"German","m",28,0,21,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"23",0,"scene_orange_video_0.gif","orange_bare_f","bare","orange",0,-1,-1,"German","m",28,0,22,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"24",0,"scene_orange_video_40.gif","orange_might_m","might","orange",40,-1,-1,"German","m",28,0,23,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"25",0,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,-1,-1,"German","m",28,0,24,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"26",0,"scene_blue_video_25.gif","blue_might_f","might","blue",25,-1,-1,"German","m",28,0,25,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"27",0,"scene_blue_video_60.gif","blue_might_m","might","blue",60,-1,-1,"German","m",28,0,26,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"28",0,"scene_orange_video_75.gif","orange_might_f","might","orange",75,-1,-1,"German","m",28,0,27,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"29",1,"scene_blue_video_60.gif","blue_might_m","might","blue",60,0,0,"German","m",28,0,28,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"30",1,"scene_orange_video_10.gif","orange_probably_m","probably","orange",10,1,1,"German","m",28,0,29,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"31",0,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,-1,-1,"German","m",28,0,30,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"32",1,"scene_orange_video_0.gif","orange_bare_f","bare","orange",0,1,1,"German","m",28,0,31,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"33",0,"scene_orange_video_0.gif","orange_bare_m","bare","orange",0,-1,-1,"German","m",28,0,32,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"34",1,"scene_orange_video_40.gif","orange_might_m","might","orange",40,0,1,"German","m",28,0,33,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"35",0,"scene_blue_video_60.gif","blue_might_m","might","blue",60,-1,-1,"German","m",28,0,34,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"36",0,"scene_orange_video_0.gif","orange_bare_m","bare","orange",0,-1,-1,"German","m",28,0,35,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"37",0,"scene_blue_video_60.gif","blue_might_m","might","blue",60,-1,-1,"German","m",28,0,36,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"38",0,"scene_orange_video_0.gif","orange_bare_m","bare","orange",0,-1,-1,"German","m",28,0,37,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"39",0,"scene_blue_video_90.gif","blue_probably_m","probably","blue",90,-1,-1,"German","m",28,0,38,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"40",0,"scene_orange_video_40.gif","orange_probably_f","probably","orange",40,-1,-1,"German","m",28,0,39,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"41",1,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,1,1,"English","f",19,0,0,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"42",0,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,-1,-1,"English","f",19,0,1,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"43",1,"scene_blue_video_60.gif","blue_probably_m","probably","blue",60,1,1,"English","f",19,0,2,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"44",0,"scene_blue_video_60.gif","blue_might_f","might","blue",60,-1,-1,"English","f",19,0,3,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"45",0,"scene_blue_video_60.gif","blue_probably_m","probably","blue",60,-1,-1,"English","f",19,0,4,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"46",0,"scene_orange_video_75.gif","orange_might_m","might","orange",75,-1,-1,"English","f",19,0,5,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"47",0,"scene_blue_video_60.gif","blue_probably_m","probably","blue",60,-1,-1,"English","f",19,0,6,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"48",0,"scene_orange_video_0.gif","orange_bare_f","bare","orange",0,-1,-1,"English","f",19,0,7,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"49",0,"scene_blue_video_25.gif","blue_might_m","might","blue",25,-1,-1,"English","f",19,0,8,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"50",1,"scene_blue_video_60.gif","blue_probably_m","probably","blue",60,0,1,"English","f",19,0,9,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"51",0,"scene_orange_video_10.gif","orange_probably_f","probably","orange",10,-1,-1,"English","f",19,0,10,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"52",1,"scene_orange_video_10.gif","orange_probably_f","probably","orange",10,1,1,"English","f",19,0,11,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"53",1,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,1,0,"English","f",19,0,12,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"54",0,"scene_orange_video_0.gif","orange_bare_m","bare","orange",0,-1,-1,"English","f",19,0,13,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"55",0,"scene_blue_video_25.gif","blue_might_m","might","blue",25,-1,-1,"English","f",19,0,14,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"56",0,"scene_blue_video_25.gif","blue_might_m","might","blue",25,-1,-1,"English","f",19,0,15,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"57",1,"scene_blue_video_60.gif","blue_probably_m","probably","blue",60,0,1,"English","f",19,0,16,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"58",0,"scene_blue_video_60.gif","blue_probably_m","probably","blue",60,-1,-1,"English","f",19,0,17,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"59",0,"scene_orange_video_40.gif","orange_might_f","might","orange",40,-1,-1,"English","f",19,0,18,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"60",0,"scene_orange_video_40.gif","orange_might_f","might","orange",40,-1,-1,"English","f",19,0,19,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"61",0,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,-1,-1,"English","f",19,0,20,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"62",1,"scene_orange_video_40.gif","orange_probably_m","probably","orange",40,1,1,"English","f",19,0,21,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"63",1,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,1,1,"English","f",19,0,22,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"64",1,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,0,1,"English","f",19,0,23,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"65",1,"scene_orange_video_40.gif","orange_might_f","might","orange",40,0,1,"English","f",19,0,24,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"66",0,"scene_orange_video_40.gif","orange_probably_m","probably","orange",40,-1,-1,"English","f",19,0,25,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"67",0,"scene_orange_video_40.gif","orange_might_f","might","orange",40,-1,-1,"English","f",19,0,26,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"68",0,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,-1,-1,"English","f",19,0,27,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"69",0,"scene_blue_video_60.gif","blue_might_f","might","blue",60,-1,-1,"English","f",19,0,28,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"70",0,"scene_orange_video_40.gif","orange_probably_m","probably","orange",40,-1,-1,"English","f",19,0,29,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"71",0,"scene_blue_video_25.gif","blue_might_m","might","blue",25,-1,-1,"English","f",19,0,30,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"72",1,"scene_blue_video_60.gif","blue_might_f","might","blue",60,0,1,"English","f",19,0,31,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"73",1,"scene_orange_video_40.gif","orange_might_f","might","orange",40,1,1,"English","f",19,0,32,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"74",0,"scene_orange_video_10.gif","orange_probably_f","probably","orange",10,-1,-1,"English","f",19,0,33,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"75",0,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,-1,-1,"English","f",19,0,34,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"76",0,"scene_orange_video_40.gif","orange_might_f","might","orange",40,-1,-1,"English","f",19,0,35,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"77",0,"scene_orange_video_10.gif","orange_probably_f","probably","orange",10,-1,-1,"English","f",19,0,36,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"78",0,"scene_blue_video_90.gif","blue_probably_f","probably","blue",90,-1,-1,"English","f",19,0,37,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"79",0,"scene_blue_video_60.gif","blue_might_f","might","blue",60,-1,-1,"English","f",19,0,38,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"80",0,"scene_blue_video_60.gif","blue_probably_m","probably","blue",60,-1,-1,"English","f",19,0,39,"dd78c6f8e5918b0909bc4a7ad7ee469d13c4673149e5","2018-11-08T23:53:28-08:00"
"81",0,"scene_orange_video_10.gif","orange_probably_m","probably","orange",10,-1,-1,"English","f",26,0,0,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"82",0,"scene_orange_video_0.gif","orange_bare_f","bare","orange",0,-1,-1,"English","f",26,0,1,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"83",1,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,1,1,"English","f",26,0,2,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"84",0,"scene_orange_video_40.gif","orange_might_m","might","orange",40,-1,-1,"English","f",26,0,3,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"85",1,"scene_orange_video_0.gif","orange_bare_f","bare","orange",0,0,1,"English","f",26,0,4,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"86",1,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,1,1,"English","f",26,0,5,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"87",1,"scene_blue_video_60.gif","blue_might_m","might","blue",60,1,1,"English","f",26,0,6,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"88",0,"scene_orange_video_40.gif","orange_probably_f","probably","orange",40,-1,-1,"English","f",26,0,7,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"89",0,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,-1,-1,"English","f",26,0,8,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"90",0,"scene_orange_video_75.gif","orange_might_f","might","orange",75,-1,-1,"English","f",26,0,9,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"91",0,"scene_orange_video_10.gif","orange_probably_m","probably","orange",10,-1,-1,"English","f",26,0,10,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"92",0,"scene_orange_video_0.gif","orange_bare_m","bare","orange",0,-1,-1,"English","f",26,0,11,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"93",0,"scene_orange_video_40.gif","orange_might_m","might","orange",40,-1,-1,"English","f",26,0,12,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"94",0,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,-1,-1,"English","f",26,0,13,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"95",0,"scene_orange_video_75.gif","orange_might_f","might","orange",75,-1,-1,"English","f",26,0,14,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"96",0,"scene_orange_video_10.gif","orange_probably_m","probably","orange",10,-1,-1,"English","f",26,0,15,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"97",0,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,-1,-1,"English","f",26,0,16,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"98",0,"scene_blue_video_60.gif","blue_might_m","might","blue",60,-1,-1,"English","f",26,0,17,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"99",0,"scene_orange_video_40.gif","orange_probably_f","probably","orange",40,-1,-1,"English","f",26,0,18,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"100",1,"scene_blue_video_90.gif","blue_probably_m","probably","blue",90,1,1,"English","f",26,0,19,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"101",1,"scene_orange_video_75.gif","orange_might_f","might","orange",75,0,1,"English","f",26,0,20,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"102",1,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,0,0,"English","f",26,0,21,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"103",1,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,0,1,"English","f",26,0,22,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"104",0,"scene_orange_video_40.gif","orange_might_m","might","orange",40,-1,-1,"English","f",26,0,23,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"105",0,"scene_blue_video_60.gif","blue_might_m","might","blue",60,-1,-1,"English","f",26,0,24,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"106",0,"scene_orange_video_0.gif","orange_bare_m","bare","orange",0,-1,-1,"English","f",26,0,25,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"107",0,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,-1,-1,"English","f",26,0,26,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"108",0,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,-1,-1,"English","f",26,0,27,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"109",0,"scene_orange_video_40.gif","orange_might_m","might","orange",40,-1,-1,"English","f",26,0,28,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"110",1,"scene_orange_video_40.gif","orange_might_m","might","orange",40,1,1,"English","f",26,0,29,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"111",0,"scene_orange_video_75.gif","orange_might_f","might","orange",75,-1,-1,"English","f",26,0,30,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"112",1,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,0,1,"English","f",26,0,31,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"113",0,"scene_orange_video_0.gif","orange_bare_f","bare","orange",0,-1,-1,"English","f",26,0,32,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"114",0,"scene_blue_video_60.gif","blue_might_m","might","blue",60,-1,-1,"English","f",26,0,33,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"115",0,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,-1,-1,"English","f",26,0,34,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"116",0,"scene_blue_video_90.gif","blue_probably_m","probably","blue",90,-1,-1,"English","f",26,0,35,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"117",1,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,1,1,"English","f",26,0,36,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"118",0,"scene_orange_video_40.gif","orange_probably_f","probably","orange",40,-1,-1,"English","f",26,0,37,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"119",1,"scene_orange_video_40.gif","orange_might_m","might","orange",40,1,1,"English","f",26,0,38,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"120",0,"scene_blue_video_25.gif","blue_might_f","might","blue",25,-1,-1,"English","f",26,0,39,"a74b2dcbd172f1926572aa08f59ef2c8923bde5da07c","2018-11-09T19:56:07-08:00"
"121",0,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,-1,-1,"Mandarin","f",19,0,0,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"122",0,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,-1,-1,"Mandarin","f",19,0,1,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"123",0,"scene_blue_video_100.gif","blue_bare_f","bare","blue",100,-1,-1,"Mandarin","f",19,0,2,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"124",0,"scene_blue_video_100.gif","blue_bare_m","bare","blue",100,-1,-1,"Mandarin","f",19,0,3,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"125",0,"scene_orange_video_0.gif","orange_bare_m","bare","orange",0,-1,-1,"Mandarin","f",19,0,4,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"126",0,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,-1,-1,"Mandarin","f",19,0,5,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"127",0,"scene_orange_video_10.gif","orange_probably_m","probably","orange",10,-1,-1,"Mandarin","f",19,0,6,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"128",0,"scene_orange_video_40.gif","orange_might_m","might","orange",40,-1,-1,"Mandarin","f",19,0,7,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"129",0,"scene_orange_video_40.gif","orange_probably_f","probably","orange",40,-1,-1,"Mandarin","f",19,0,8,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"130",1,"scene_blue_video_25.gif","blue_might_f","might","blue",25,0,1,"Mandarin","f",19,0,9,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"131",1,"scene_blue_video_25.gif","blue_might_f","might","blue",25,1,1,"Mandarin","f",19,0,10,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"132",1,"scene_blue_video_90.gif","blue_probably_m","probably","blue",90,1,1,"Mandarin","f",19,0,11,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"133",1,"scene_orange_video_10.gif","orange_probably_m","probably","orange",10,0,1,"Mandarin","f",19,0,12,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"134",0,"scene_blue_video_60.gif","blue_probably_f","probably","blue",60,-1,-1,"Mandarin","f",19,0,13,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"135",0,"scene_blue_video_60.gif","blue_might_m","might","blue",60,-1,-1,"Mandarin","f",19,0,14,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"136",0,"scene_orange_video_75.gif","orange_might_f","might","orange",75,-1,-1,"Mandarin","f",19,0,15,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"137",1,"scene_blue_video_60.gif","blue_might_m","might","blue",60,1,1,"Mandarin","f",19,0,16,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
"138",0,"scene_orange_video_40.gif","orange_probably_f","probably","orange",40,-1,-1,"Mandarin","f",19,0,17,"55bf0843b06ec583a873d1300eddf8a10a8920e6695e","2018-11-09T20:15:27-08:00"
